Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,144.740005,145.979996,144.289993,145.309998,140.170563,1372100
2016-05-13,144.869995,145.679993,144.169998,144.369995,139.263809,991200
2016-05-16,144.059998,145.809998,144.000000,145.369995,140.228424,937300
2016-05-17,145.429993,147.160004,144.259995,145.000000,139.871506,1557500
2016-05-18,144.309998,145.919998,143.410004,144.309998,139.205917,1154400
2016-05-19,143.460007,143.960007,142.309998,143.589996,138.511414,1236900
2016-05-20,144.479996,144.940002,143.720001,144.619995,139.504944,1194500
2016-05-23,144.279999,144.630005,142.250000,142.250000,137.218781,1627500
2016-05-24,142.750000,143.360001,142.720001,142.960007,137.903671,1977800
2016-05-25,143.449997,143.559998,142.550003,142.970001,137.913315,1349500
2016-05-26,142.949997,143.279999,142.470001,142.830002,137.778290,945000
2016-05-27,142.800003,143.429993,142.789993,143.130005,138.067673,761100
2016-05-31,143.539993,143.910004,141.539993,141.869995,136.852219,1690900
2016-06-01,141.869995,141.869995,140.970001,141.470001,136.466370,5111200
2016-06-02,140.919998,141.470001,139.990005,140.130005,135.173767,2087000
2016-06-03,140.009995,140.869995,138.759995,140.229996,135.270218,2602400
2016-06-06,140.529999,141.250000,140.039993,140.339996,135.376343,979900
2016-06-07,140.750000,141.809998,140.559998,141.059998,136.070862,1826600
2016-06-08,140.869995,141.669998,140.600006,141.490005,136.485672,870500
2016-06-09,141.190002,142.130005,141.000000,141.979996,136.958328,1347100
2016-06-10,141.169998,142.089996,141.029999,141.529999,136.524246,1400800
2016-06-13,141.199997,141.619995,139.029999,139.110001,134.189850,1390800
2016-06-14,138.990005,139.460007,138.300003,139.429993,134.498535,1084100
2016-06-15,139.750000,140.809998,139.529999,140.110001,135.154449,1462200
2016-06-16,139.539993,140.649994,138.429993,139.759995,134.816833,946200
2016-06-17,139.899994,140.089996,138.080002,138.990005,134.074097,1520400
2016-06-20,140.419998,141.559998,139.970001,140.919998,135.935837,1897400
2016-06-21,141.220001,141.580002,139.410004,139.410004,134.479202,1597100
2016-06-22,139.779999,140.389999,138.610001,138.789993,133.881134,1359900
2016-06-23,140.149994,140.149994,138.869995,139.779999,134.836136,1017900
2016-06-24,135.889999,138.880005,135.029999,136.139999,131.324890,4483700
2016-06-27,135.000000,135.449997,132.679993,133.059998,128.353836,2301500
