Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,40.090000,40.490002,39.869999,40.209999,38.456856,2594200
2016-05-13,40.099998,40.529999,39.759998,39.900002,38.160366,2120100
2016-05-16,39.860001,40.360001,39.799999,40.240002,38.485550,2916800
2016-05-17,40.000000,40.220001,38.560001,38.799999,37.108322,5410700
2016-05-18,38.639999,38.639999,35.139999,35.480000,33.933079,12777900
2016-05-19,35.470001,35.669998,34.759998,35.369999,33.827873,8261800
2016-05-20,35.459999,35.580002,34.730000,34.860001,33.340107,7726200
2016-05-23,34.900002,35.169998,34.799999,34.869999,33.349674,3291400
2016-05-24,35.029999,35.189999,34.599998,34.799999,33.282722,3385100
2016-05-25,34.790001,34.880001,34.279999,34.610001,33.101017,4454200
2016-05-26,34.669998,35.080002,34.410000,34.900002,33.378368,3748900
2016-05-27,34.950001,35.000000,34.619999,34.779999,33.263599,2106000
2016-05-31,34.830002,35.130001,34.310001,34.410000,32.909729,4306600
2016-06-01,34.439999,34.770000,34.189999,34.430000,32.928860,2934200
2016-06-02,34.410000,34.580002,34.200001,34.279999,32.785400,2493400
2016-06-03,34.459999,34.840000,34.360001,34.669998,33.158390,2786800
2016-06-06,34.570000,34.669998,33.919998,34.009998,32.527168,3789600
2016-06-07,34.009998,34.619999,33.930000,34.400002,32.900166,3424400
2016-06-08,34.290001,34.570000,34.110001,34.540001,33.034061,3363000
2016-06-09,34.529999,34.970001,34.430000,34.900002,33.378368,2656100
2016-06-10,34.680000,34.860001,34.520000,34.759998,33.244461,2653900
2016-06-13,34.599998,34.849998,34.200001,34.439999,32.938416,3117600
2016-06-14,34.279999,34.439999,34.099998,34.349998,32.852345,3115800
2016-06-15,34.459999,34.529999,34.090000,34.180000,32.689754,2276500
2016-06-16,34.180000,34.990002,34.169998,34.959999,33.435749,2824300
2016-06-17,34.869999,34.939999,34.450001,34.880001,33.359238,2907400
2016-06-20,35.040001,35.240002,34.619999,34.639999,33.129700,2366000
2016-06-21,34.680000,35.099998,34.560001,34.919998,33.397488,3015600
2016-06-22,34.919998,35.040001,34.570000,34.570000,33.062748,1624100
2016-06-23,34.910000,34.959999,34.430000,34.590000,33.081886,2048200
2016-06-24,33.830002,35.599998,33.700001,35.340000,33.799179,5930700
2016-06-27,35.090000,36.020000,35.040001,35.810001,34.248692,5820300
2016-06-28,35.849998,36.270000,34.669998,34.980000,33.454880,4093800
2016-06-29,35.250000,35.520000,34.900002,35.320000,33.780048,2552000
2016-06-30,35.330002,36.639999,35.299999,36.599998,35.004242,4686000
2016-07-01,36.740002,37.099998,36.139999,36.279999,34.698196,2908400
2016-07-05,36.160000,36.919998,36.080002,36.730000,35.128567,3785200
2016-07-06,36.610001,37.380001,36.529999,36.630001,35.032940,3829500
2016-07-07,36.750000,36.820000,36.369999,36.439999,34.851223,2377900
2016-07-08,36.509998,36.709999,36.290001,36.610001,35.013809,3079600
2016-07-11,36.619999,36.680000,36.330002,36.419998,34.832088,2159500
2016-07-12,36.279999,36.450001,36.180000,36.270000,34.688637,2148600
2016-07-13,36.279999,36.610001,36.139999,36.560001,34.965992,2059100
2016-07-14,36.330002,36.740002,36.290001,36.709999,35.249245,2586900
2016-07-15,36.700001,36.770000,36.240002,36.270000,34.826763,2556000
