Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,103.839996,104.400002,103.260002,103.919998,100.847221,686200
2017-01-04,104.150002,104.699997,103.839996,104.120003,101.041313,844200
2017-01-05,103.120003,104.260002,103.010002,103.449997,100.391129,1581800
2017-01-06,104.449997,105.230003,103.709999,104.510002,101.419785,916500
2017-01-09,104.510002,104.730003,103.540001,103.889999,100.818108,890200
2017-01-10,104.379997,105.139999,103.849998,104.830002,101.730324,1125900
2017-01-11,104.480003,105.589996,104.410004,104.949997,101.846771,940600
2017-01-12,104.739998,105.480003,104.309998,104.680000,101.584747,762400
2017-01-13,104.589996,105.239998,104.349998,104.849998,101.749725,679900
2017-01-17,104.820000,105.410004,104.419998,105.169998,102.060265,902100
2017-01-18,105.230003,106.279999,104.970001,105.650002,102.526077,1184700
2017-01-19,105.639999,105.699997,104.849998,105.220001,102.108788,463000
2017-01-20,105.790001,106.199997,104.970001,105.570000,102.448441,623500
2017-01-23,105.559998,105.639999,104.980003,105.300003,102.186424,696100
2017-01-24,105.440002,107.250000,105.129997,106.519997,103.370346,849700
2017-01-25,106.599998,106.800003,106.000000,106.300003,103.156860,699800
2017-01-26,105.970001,106.199997,105.559998,105.669998,102.545479,766800
2017-01-27,105.980003,106.019997,104.599998,105.510002,102.390213,1035300
2017-01-30,105.790001,106.089996,104.550003,105.070000,101.963226,1321800
2017-01-31,105.790001,106.300003,105.050003,105.470001,102.351395,1702800
2017-02-01,105.290001,105.940002,104.510002,105.120003,102.011742,1234000
2017-02-02,105.459999,106.070000,104.919998,105.589996,102.467842,1520800
2017-02-03,103.599998,107.440002,101.610001,106.980003,103.816750,2708100
2017-02-06,107.000000,107.699997,106.320000,107.410004,104.234039,1095100
2017-02-07,107.449997,108.059998,107.059998,107.190002,104.020538,1446800
2017-02-08,107.000000,107.500000,106.709999,106.980003,103.816750,893700
2017-02-09,106.980003,109.580002,106.980003,108.110001,104.913338,1935500
2017-02-10,108.239998,108.610001,107.440002,107.620003,104.437820,979200
2017-02-13,107.500000,108.400002,107.320000,108.209999,105.010376,654500
2017-02-14,107.989998,108.400002,107.440002,108.339996,105.136520,686500
2017-02-15,108.010002,109.080002,107.680000,108.800003,105.582939,1058100
2017-02-16,109.230003,109.570000,107.360001,107.650002,104.466942,1465100
2017-02-17,106.830002,107.760002,106.510002,107.250000,104.078773,1749500
2017-02-21,107.500000,108.870003,107.120003,108.480003,105.272392,1906900
2017-02-22,107.790001,108.160004,107.580002,107.949997,105.358276,839400
2017-02-23,108.089996,109.309998,107.970001,108.650002,106.041473,880600
2017-02-24,108.699997,108.989998,108.180000,108.900002,106.285469,1055600
2017-02-27,108.690002,109.000000,107.730003,107.800003,105.211884,744300
2017-02-28,108.180000,109.089996,108.120003,108.349998,105.748672,1554300
2017-03-01,108.599998,109.900002,107.820000,109.400002,106.773468,1709000
2017-03-02,109.580002,109.660004,108.580002,109.129997,106.509949,1059400
2017-03-03,108.790001,109.110001,108.089996,108.660004,106.051239,883800
2017-03-06,107.970001,108.709999,107.889999,108.599998,105.992676,774800
2017-03-07,108.669998,108.879997,108.080002,108.150002,105.553482,803200
2017-03-08,108.010002,108.750000,107.320000,108.570000,105.963387,1696000
2017-03-09,108.800003,109.550003,108.279999,109.360001,106.734421,993700
2017-03-10,109.800003,109.849998,108.720001,108.930000,106.314751,735600
2017-03-13,108.639999,108.930000,108.379997,108.699997,106.090271,768800
2017-03-14,108.699997,108.860001,108.279999,108.519997,105.914589,679400
2017-03-15,108.610001,109.559998,108.529999,109.290001,106.666107,857600
2017-03-16,109.230003,109.500000,108.500000,109.470001,106.841789,604300
2017-03-17,109.760002,109.760002,108.959999,109.010002,106.392830,1361800
2017-03-20,109.010002,109.169998,108.489998,108.849998,106.236671,946500
2017-03-21,108.419998,108.930000,107.980003,108.110001,105.514442,1196600
2017-03-22,108.400002,108.709999,107.120003,107.940002,105.348518,1173800
2017-03-23,107.919998,108.739998,107.650002,108.099998,105.504677,707600
2017-03-24,108.379997,108.620003,107.480003,107.980003,105.387558,794500
2017-03-27,107.660004,108.529999,107.449997,108.260002,105.660843,854400
2017-03-28,108.029999,109.900002,107.720001,109.150002,106.529472,1338900
2017-03-29,109.099998,109.730003,108.680000,109.610001,106.978432,792900
2017-03-30,109.389999,109.620003,108.540001,108.900002,106.285469,933300
2017-03-31,108.889999,109.680000,108.250000,109.250000,106.627068,1034400
2017-04-03,108.930000,109.330002,108.660004,108.919998,106.304985,1008200
2017-04-04,108.430000,108.550003,107.739998,108.389999,105.787720,935000
2017-04-05,108.519997,109.800003,108.230003,109.070000,106.451393,912700
2017-04-06,109.070000,109.269997,108.519997,108.879997,106.265953,535500
2017-04-07,109.019997,109.800003,108.610001,109.519997,106.890579,961100
2017-04-10,109.620003,109.790001,108.040001,108.320000,105.719398,1426000
2017-04-11,108.129997,108.480003,107.769997,108.410004,105.807228,737200
2017-04-12,108.440002,109.099998,108.019997,109.050003,106.431870,596100
2017-04-13,108.949997,108.959999,108.150002,108.199997,105.602280,571900
2017-04-17,108.309998,108.849998,108.169998,108.699997,106.090271,557000
2017-04-18,108.709999,110.000000,108.629997,109.470001,106.841789,857400
2017-04-19,109.559998,109.779999,108.360001,108.629997,106.021957,655900
2017-04-20,108.739998,109.089996,108.089996,108.800003,106.187874,940300
2017-04-21,108.599998,108.739998,107.379997,107.400002,104.821487,1075200
2017-04-24,107.639999,108.620003,107.639999,108.440002,105.836510,864800
2017-04-25,108.540001,108.889999,108.290001,108.459999,105.856033,941500
2017-04-26,108.620003,108.709999,106.510002,107.500000,104.919083,1788500
2017-04-27,107.790001,108.489998,107.239998,107.379997,104.801964,897500
2017-04-28,106.989998,108.260002,106.839996,108.199997,105.602280,1064200
2017-05-01,108.000000,108.199997,107.050003,107.050003,104.479881,893700
2017-05-02,107.120003,107.430000,106.709999,107.059998,104.489647,879900
2017-05-03,106.820000,107.019997,106.000000,106.739998,104.177338,1231000
2017-05-04,107.389999,108.150002,106.699997,107.279999,104.704369,1136900
2017-05-05,107.650002,107.650002,107.199997,107.550003,104.967880,684700
2017-05-08,107.389999,107.489998,106.790001,107.000000,104.431084,1341700
2017-05-09,106.970001,107.279999,106.150002,106.410004,103.855255,732500
2017-05-10,106.440002,107.120003,106.180000,106.629997,104.069962,791200
2017-05-11,106.330002,106.739998,106.019997,106.550003,103.991890,768700
2017-05-12,106.449997,107.230003,106.430000,107.070000,104.499405,590200
2017-05-15,106.989998,107.989998,106.800003,107.849998,105.260681,802200
2017-05-16,107.989998,108.000000,107.080002,107.209999,104.636047,595400
2017-05-17,107.209999,109.650002,106.730003,108.769997,106.158592,1258100
2017-05-18,108.699997,111.180000,108.260002,110.760002,108.100815,1779600
2017-05-19,110.760002,112.150002,110.080002,111.980003,109.291534,1573200
2017-05-22,111.849998,113.360001,111.849998,112.769997,110.062553,1359800
2017-05-23,112.389999,113.820000,112.160004,113.139999,111.032150,1253700
2017-05-24,113.099998,114.470001,113.040001,114.360001,112.229424,1200300
