Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,20.920000,21.629999,20.879999,21.610001,20.683372,16489400
2017-01-04,21.670000,21.740000,21.450001,21.719999,20.788652,8773300
2017-01-05,21.790001,21.840000,21.459999,21.690001,20.759943,10612800
2017-01-06,21.709999,21.910000,21.580000,21.809999,20.874796,9319300
2017-01-09,21.559999,21.879999,21.420000,21.639999,20.712084,10411200
2017-01-10,21.740000,21.799999,21.490000,21.570000,20.645086,14680200
2017-01-11,21.559999,21.969999,21.520000,21.940001,20.999222,10211500
2017-01-12,22.000000,22.219999,21.740000,22.190001,21.238501,14239000
2017-01-13,22.090000,22.490000,22.000000,22.420000,21.458641,16135600
2017-01-17,22.500000,22.680000,22.430000,22.549999,21.583065,14073400
2017-01-18,22.459999,22.620001,22.320000,22.440001,21.477783,14458300
2017-01-19,22.000000,22.750000,21.860001,22.469999,21.506496,16315300
2017-01-20,22.730000,22.940001,22.360001,22.490000,21.525635,17148900
2017-01-23,22.559999,22.590000,22.080000,22.139999,21.190645,12711500
2017-01-24,22.320000,22.730000,22.180000,22.620001,21.650063,12002600
2017-01-25,22.620001,22.700001,22.219999,22.600000,21.630920,19065000
2017-01-26,22.639999,22.750000,22.400000,22.420000,21.458641,9862800
2017-01-27,22.420000,22.469999,22.200001,22.379999,21.420357,10606800
2017-01-30,22.219999,22.260000,21.830000,21.980000,21.155668,11029300
2017-01-31,22.010000,22.350000,21.879999,22.340000,21.502165,9147300
2017-02-01,22.480000,22.559999,22.049999,22.230000,21.396294,9352800
2017-02-02,22.320000,22.650000,22.219999,22.650000,21.800541,11032600
2017-02-03,22.650000,23.010000,22.559999,22.940001,22.079664,10785200
2017-02-06,22.920000,22.969999,22.469999,22.500000,21.656170,8540800
2017-02-07,22.400000,22.540001,22.040001,22.120001,21.290419,10529600
2017-02-08,22.020000,22.430000,21.820000,22.410000,21.569542,11419100
2017-02-09,22.410000,22.750000,22.350000,22.379999,21.540668,13105800
2017-02-10,22.580000,22.709999,22.440001,22.480000,21.636915,20023800
2017-02-13,22.430000,22.549999,22.309999,22.549999,21.704292,10190400
2017-02-14,22.610001,22.639999,22.389999,22.540001,21.694668,8555000
2017-02-15,22.410000,22.490000,22.209999,22.270000,21.434793,11872700
2017-02-16,22.280001,22.280001,21.750000,21.790001,20.972795,17715700
2017-02-17,21.750000,21.889999,21.580000,21.770000,20.953543,14646600
2017-02-21,21.820000,22.100000,21.790001,21.990000,21.165293,10145500
2017-02-22,21.799999,21.850000,21.459999,21.510000,20.703295,10998600
2017-02-23,21.740000,21.799999,21.450001,21.540001,20.732172,11906500
2017-02-24,21.400000,21.530001,21.120001,21.240000,20.443422,12515500
2017-02-27,21.309999,21.450001,21.200001,21.400000,20.597420,11047800
2017-02-28,21.290001,21.440001,21.209999,21.309999,20.510796,9969400
2017-03-01,21.510000,21.950001,21.410000,21.770000,20.953543,11848100
2017-03-02,21.559999,21.910000,21.530001,21.850000,21.030544,8926800
2017-03-03,21.850000,21.980000,21.650000,21.750000,20.934294,8533400
2017-03-06,21.690001,21.860001,21.540001,21.760000,20.943922,7829700
2017-03-07,21.760000,21.799999,21.559999,21.629999,20.818794,9535500
2017-03-08,21.620001,21.959999,21.190001,21.290001,20.491549,18117900
