Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,105.449997,105.750000,104.769997,105.309998,102.384651,1487000
2017-01-04,105.230003,105.320000,104.830002,105.050003,102.658287,1254100
2017-01-05,105.699997,106.129997,104.910004,105.209999,102.814636,2142100
2017-01-06,105.559998,108.129997,105.559998,108.129997,105.668152,4046800
2017-01-09,108.000000,109.050003,107.400002,108.949997,106.469482,2716200
2017-01-10,108.500000,108.949997,108.239998,108.440002,105.971100,1626800
2017-01-11,108.580002,108.839996,107.699997,108.449997,105.980873,1618000
2017-01-12,108.449997,108.500000,106.739998,107.330002,104.886375,2594000
2017-01-13,107.309998,107.900002,107.050003,107.620003,105.169769,1819400
2017-01-17,107.800003,108.699997,107.660004,108.169998,105.707245,2835200
2017-01-18,108.470001,108.550003,107.889999,108.099998,105.638840,1218400
2017-01-19,108.010002,108.430000,107.949997,108.120003,105.658379,1022900
2017-01-20,108.370003,108.610001,108.029999,108.580002,106.107910,2291200
2017-01-23,108.220001,108.570000,107.419998,108.440002,105.971100,1841900
2017-01-24,108.750000,109.379997,108.029999,108.839996,106.361992,1596900
2017-01-25,109.070000,111.059998,108.860001,110.839996,108.316460,3119600
2017-01-26,110.500000,110.919998,109.750000,109.800003,107.300140,1475100
2017-01-27,109.730003,110.169998,108.510002,109.400002,106.909248,1746600
2017-01-30,109.000000,109.760002,108.089996,108.570000,106.098137,1522100
2017-01-31,108.080002,108.839996,107.900002,108.309998,105.844055,1415900
2017-02-01,108.279999,109.330002,108.199997,108.459999,105.990646,1190200
2017-02-02,108.489998,109.150002,107.910004,108.970001,106.489037,1728500
2017-02-03,109.000000,109.370003,108.599998,108.870003,106.391312,1045500
2017-02-06,108.669998,108.750000,107.879997,108.309998,105.844055,1199400
2017-02-07,108.290001,108.440002,107.440002,107.570000,105.120911,1263600
2017-02-08,107.650002,108.099998,106.980003,107.339996,104.896141,1494200
2017-02-09,107.339996,108.260002,107.339996,107.529999,105.081818,1184200
2017-02-10,107.500000,107.940002,106.970001,107.570000,105.120911,911200
2017-02-13,107.690002,107.849998,107.269997,107.669998,105.218628,1371800
2017-02-14,107.500000,107.860001,107.440002,107.629997,105.179535,1374600
2017-02-15,108.879997,109.470001,108.650002,108.800003,106.322906,1865000
2017-02-16,109.330002,109.349998,108.379997,108.489998,106.019958,2365300
2017-02-17,108.760002,109.129997,108.510002,109.000000,106.518349,2224700
2017-02-21,109.610001,111.989998,109.610001,110.570000,108.052605,3818300
2017-02-22,111.029999,112.449997,110.809998,111.379997,108.844162,2500300
2017-02-23,112.000000,113.110001,111.800003,112.330002,109.772537,2567900
2017-02-24,112.220001,113.059998,111.830002,112.959999,110.388184,1894200
2017-02-27,113.000000,113.660004,112.730003,113.589996,111.003845,1831900
2017-02-28,113.489998,113.959999,113.220001,113.830002,111.238380,1944200
2017-03-01,114.239998,116.040001,114.010002,115.510002,112.880135,3857100
2017-03-02,115.199997,115.500000,114.699997,114.870003,112.254715,1478700
2017-03-03,115.000000,115.500000,114.930000,114.970001,112.352425,1850400
2017-03-06,114.849998,115.290001,114.510002,114.650002,112.039711,1140200
2017-03-07,114.529999,115.349998,114.489998,115.059998,112.440376,1573200
2017-03-08,115.019997,115.070000,114.089996,114.169998,111.570633,1776900
2017-03-09,114.180000,114.970001,113.510002,113.790001,111.199295,2265500
2017-03-10,114.080002,114.629997,113.800003,114.059998,111.463142,1289100
2017-03-13,114.120003,114.449997,113.849998,114.139999,111.541328,1330500
2017-03-14,113.900002,114.199997,113.510002,113.970001,111.375206,1740200
2017-03-15,113.800003,113.900002,113.180000,113.370003,110.788857,3021100
2017-03-16,113.320000,113.739998,112.379997,112.510002,109.948441,3102300
2017-03-17,112.750000,113.059998,111.919998,112.760002,110.192741,4992800
2017-03-20,112.940002,114.070000,112.559998,113.809998,111.218834,2172200
2017-03-21,113.290001,114.300003,112.489998,112.800003,110.231834,2537100
2017-03-22,112.779999,113.449997,112.410004,113.370003,110.788857,1364300
2017-03-23,113.430000,113.779999,112.750000,113.160004,110.583649,1932900
2017-03-24,113.089996,113.800003,113.089996,113.669998,111.082024,1602900
2017-03-27,113.209999,114.519997,113.199997,114.089996,111.492455,2367100
2017-03-28,113.919998,114.449997,113.790001,114.160004,111.560875,1761700
2017-03-29,114.000000,114.190002,113.769997,113.900002,111.306786,2101400
2017-03-30,113.699997,114.169998,113.239998,113.349998,110.769310,1620500
2017-03-31,113.199997,113.790001,113.150002,113.199997,110.622719,2302100
2017-04-03,113.300003,113.970001,113.269997,113.930000,111.336113,4874200
2017-04-04,113.889999,114.750000,113.750000,114.750000,112.137436,2414000
2017-04-05,116.050003,116.370003,115.129997,115.309998,113.217476,5465100
2017-04-06,115.589996,116.559998,115.470001,116.000000,113.894958,3188300
2017-04-07,115.870003,116.269997,115.809998,116.160004,114.052063,2595300
2017-04-10,116.379997,116.500000,115.910004,115.930000,113.826225,1524200
2017-04-11,115.910004,116.209999,115.860001,116.000000,113.894958,1684000
2017-04-12,116.449997,116.589996,116.099998,116.269997,114.160057,1735800
2017-04-13,116.199997,116.599998,115.769997,115.769997,113.669128,1553100
