Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,33.610001,34.419998,31.540001,32.599998,32.429317,10678300
2017-01-04,32.439999,33.650002,32.439999,33.549999,33.374344,4448600
2017-01-05,33.790001,34.430000,33.439999,34.200001,34.020943,5195800
2017-01-06,34.279999,34.520000,33.730000,34.230000,34.050785,2500400
2017-01-09,33.799999,33.880001,32.610001,32.759998,32.588478,4122100
2017-01-10,33.279999,33.500000,32.709999,33.360001,33.185337,3359900
2017-01-11,33.549999,33.820000,33.049999,33.529999,33.354446,2583100
2017-01-12,33.880001,34.590000,33.570000,33.990002,33.812042,3769600
2017-01-13,33.820000,34.169998,33.419998,33.639999,33.463871,2922300
2017-01-17,33.930000,33.930000,33.060001,33.759998,33.583241,2927500
2017-01-18,33.099998,34.750000,33.049999,34.349998,34.170155,3135900
2017-01-19,34.330002,34.860001,34.099998,34.470001,34.289524,3719600
2017-01-20,34.889999,34.910000,34.299999,34.540001,34.359161,3334400
2017-01-23,34.500000,34.799999,34.009998,34.139999,33.961254,2566600
2017-01-24,34.349998,34.790001,34.009998,34.060001,33.881676,5581100
2017-01-25,34.310001,34.320000,33.720001,33.830002,33.652882,3511500
2017-01-26,34.119999,34.450001,33.669998,34.439999,34.259682,4387700
2017-01-27,34.950001,36.400002,34.950001,35.709999,35.523037,6948300
2017-01-30,35.639999,35.639999,32.889999,33.340000,33.165447,5939400
2017-01-31,33.020000,33.180000,31.799999,32.340000,32.170677,5044600
2017-02-01,32.660000,32.740002,31.650000,31.809999,31.643452,4763000
2017-02-02,31.730000,32.919998,31.120001,32.779999,32.608376,4969400
2017-02-03,32.590000,33.500000,32.369999,33.470001,33.294769,4602100
2017-02-06,34.009998,34.930000,33.799999,33.910000,33.732460,3961800
2017-02-07,33.970001,34.169998,32.779999,33.150002,32.976440,3213500
2017-02-08,32.880001,33.349998,32.110001,32.889999,32.717796,2414300
2017-02-09,33.320000,33.939999,33.090000,33.810001,33.632984,2343300
2017-02-10,33.820000,34.090000,33.080002,33.139999,32.966492,3025900
2017-02-13,33.080002,33.139999,32.509998,32.529999,32.359676,2906000
2017-02-14,32.610001,32.840000,32.320000,32.810001,32.638218,3762000
2017-02-15,32.700001,33.570000,32.630001,33.000000,32.827221,2831200
2017-02-16,32.980000,33.070000,31.000000,31.240000,31.076437,6373200
2017-02-17,31.000000,31.629999,30.780001,31.270000,31.106283,6475200
2017-02-21,30.790001,31.209999,30.299999,30.420000,30.260733,6027700
2017-02-22,30.180000,30.620001,29.870001,29.930000,29.773298,4833900
2017-02-23,30.650000,30.650000,27.920000,28.940001,28.788479,9226900
2017-02-24,28.740000,28.799999,27.250000,27.639999,27.495287,6974600
2017-02-27,27.580000,28.209999,27.260000,27.719999,27.574865,4424200
2017-02-28,27.650000,27.750000,27.070000,27.620001,27.475391,3751600
2017-03-01,27.840000,28.240000,27.540001,27.930000,27.783770,3850100
2017-03-02,27.719999,27.930000,27.240000,27.469999,27.326174,3829700
2017-03-03,27.660000,27.900000,27.260000,27.340000,27.196859,2985600
2017-03-06,28.959999,28.959999,27.790001,28.469999,28.320940,5742600
2017-03-07,28.379999,28.480000,27.650000,27.910000,27.763872,5950500
2017-03-08,27.930000,28.360001,27.500000,27.540001,27.395811,6630400
2017-03-09,27.500000,27.959999,26.700001,27.799999,27.654448,7608500
2017-03-10,28.120001,28.389999,27.420000,27.530001,27.385862,5972300
2017-03-13,27.610001,28.190001,27.330000,28.080000,27.953289,5311800
2017-03-14,27.730000,27.760000,27.080000,27.450001,27.326132,3953000
2017-03-15,27.709999,28.250000,27.280001,28.100000,27.973200,3707400
2017-03-16,28.040001,28.180000,27.500000,27.690001,27.565052,4205100
2017-03-17,27.860001,27.959999,27.379999,27.510000,27.385862,4841100
2017-03-20,27.389999,27.799999,27.080000,27.719999,27.594913,4970900
2017-03-21,27.860001,28.100000,27.330000,27.420000,27.296268,4646700
2017-03-22,27.200001,27.379999,26.610001,26.799999,26.679064,4102900
2017-03-23,26.950001,27.410000,26.709999,27.230000,27.107124,3771300
2017-03-24,27.230000,27.850000,27.000000,27.680000,27.555096,4379800
2017-03-27,27.299999,27.910000,27.209999,27.820000,27.694462,3410200
2017-03-28,27.940001,28.240000,27.450001,27.790001,27.664600,5676400
2017-03-29,28.000000,28.959999,27.920000,28.950001,28.819363,6163300
2017-03-30,29.240000,29.480000,28.600000,28.610001,28.480898,8423100
2017-03-31,28.879999,29.700001,28.650000,29.100000,28.968687,5958900
2017-04-03,29.100000,29.219999,28.200001,28.570000,28.441078,4862800
2017-04-04,28.969999,29.790001,28.700001,29.760000,29.625711,5869600
2017-04-05,30.150000,30.299999,29.150000,29.400000,29.267334,6735000
2017-04-06,29.580000,29.920000,29.430000,29.900000,29.765078,4323900
2017-04-07,29.870001,30.000000,29.440001,29.469999,29.337019,3442800
2017-04-10,29.549999,29.950001,29.400000,29.879999,29.745169,2659200
2017-04-11,29.860001,29.950001,29.000000,29.400000,29.267334,3312000
2017-04-12,29.350000,29.750000,28.500000,28.540001,28.411215,5038800
2017-04-13,28.620001,28.680000,27.660000,27.770000,27.644690,5942100
2017-04-17,27.740000,28.040001,27.420000,27.870001,27.744240,5868300
2017-04-18,27.570000,27.969999,27.290001,27.420000,27.296268,4302000
2017-04-19,27.730000,28.139999,27.219999,27.340000,27.216629,5307000
2017-04-20,27.410000,27.920000,27.200001,27.610001,27.485413,3418500
2017-04-21,27.500000,27.780001,27.240000,27.469999,27.346043,3771900
2017-04-24,27.600000,27.690001,27.190001,27.230000,27.107124,5516200
