Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,171.779999,173.199997,170.059998,171.149994,167.191101,342100
2017-01-04,171.490005,174.300003,171.229996,172.770004,168.773621,325900
2017-01-05,172.309998,173.539993,169.800003,171.699997,167.728394,228700
2017-01-06,172.000000,173.990005,171.240005,173.190002,169.183929,228900
2017-01-09,173.500000,174.279999,173.080002,173.990005,169.965439,338100
2017-01-10,173.610001,176.770004,173.610001,176.270004,172.192673,463800
2017-01-11,176.360001,177.619995,175.619995,177.410004,173.306320,396200
2017-01-12,177.360001,177.679993,174.899994,177.470001,173.364914,410900
2017-01-13,177.910004,178.570007,176.389999,177.130005,173.032791,231600
2017-01-17,176.380005,176.789993,173.539993,174.419998,170.385468,370000
2017-01-18,174.910004,176.199997,174.369995,175.199997,171.147415,241700
2017-01-19,175.050003,176.520004,174.250000,174.869995,170.825058,233400
2017-01-20,175.630005,175.970001,173.839996,174.839996,170.795746,235900
2017-01-23,174.839996,175.529999,172.339996,173.649994,169.633255,223700
2017-01-24,174.270004,177.970001,174.270004,177.380005,173.277008,316900
2017-01-25,178.649994,179.119995,176.449997,179.009995,174.869293,332900
2017-01-26,178.960007,180.460007,177.759995,180.020004,175.855927,465200
2017-01-27,180.580002,180.740005,179.320007,180.610001,176.432281,432700
2017-01-30,181.240005,181.559998,179.460007,181.479996,177.282150,495400
2017-01-31,180.770004,181.610001,178.229996,181.529999,177.331009,818900
2017-02-01,181.729996,181.729996,178.050003,180.300003,176.129440,897800
2017-02-02,175.750000,178.419998,164.270004,166.979996,163.117569,2264400
2017-02-03,169.949997,173.419998,168.020004,169.779999,165.852783,1233800
2017-02-06,170.429993,170.699997,166.550003,167.850006,163.967438,802600
2017-02-07,168.229996,168.460007,166.410004,166.820007,162.961258,565000
2017-02-08,167.020004,167.169998,165.729996,166.610001,162.756119,447600
2017-02-09,166.669998,169.919998,166.250000,168.699997,164.797760,837600
2017-02-10,169.270004,170.119995,168.809998,169.889999,165.960236,348700
2017-02-13,171.000000,172.600006,170.729996,171.860001,167.884689,404900
2017-02-14,172.000000,173.160004,169.610001,172.919998,168.920181,576600
2017-02-15,172.500000,175.779999,172.240005,175.350006,171.293961,553200
2017-02-16,175.729996,175.970001,172.350006,173.309998,169.301147,585900
2017-02-17,172.720001,173.660004,172.000000,172.570007,168.578278,480900
2017-02-21,172.889999,173.710007,171.610001,172.389999,168.402435,517200
2017-02-22,171.490005,172.089996,170.210007,170.990005,167.725601,568000
2017-02-23,171.660004,171.940002,169.929993,171.029999,167.764832,272900
2017-02-24,170.000000,171.360001,168.660004,171.360001,168.088531,493600
2017-02-27,171.380005,172.100006,170.289993,171.100006,167.833496,351800
2017-02-28,170.649994,171.050003,168.899994,169.669998,166.430786,372800
2017-03-01,172.240005,174.500000,171.580002,172.850006,169.550095,584900
2017-03-02,173.369995,173.500000,170.729996,171.080002,167.813873,350200
2017-03-03,171.070007,171.070007,169.000000,170.490005,167.235153,434900
2017-03-06,169.570007,170.100006,168.610001,169.009995,165.783371,369300
2017-03-07,169.149994,169.979996,168.350006,168.460007,165.243896,245700
2017-03-08,168.699997,170.059998,168.449997,169.009995,165.783371,269300
2017-03-09,169.009995,170.220001,167.660004,168.339996,165.126190,300400
2017-03-10,168.490005,170.190002,168.470001,169.839996,166.597549,310300
2017-03-13,169.309998,170.830002,169.080002,170.759995,167.500000,460800
2017-03-14,169.800003,170.509995,168.899994,169.449997,166.214996,297100
2017-03-15,169.960007,173.139999,169.919998,172.250000,168.961548,343000
2017-03-16,172.720001,173.750000,172.419998,172.889999,169.589325,338700
2017-03-17,173.520004,173.630005,172.220001,172.880005,169.579529,341000
2017-03-20,172.880005,173.000000,171.570007,171.740005,168.461288,224900
2017-03-21,172.630005,173.259995,168.889999,169.550003,166.313095,357800
2017-03-22,169.000000,169.000000,165.869995,167.179993,163.988327,816200
2017-03-23,167.929993,168.809998,166.110001,166.360001,163.183990,673500
2017-03-24,166.850006,167.360001,164.699997,165.520004,162.360031,588900
2017-03-27,164.619995,165.240005,162.240005,164.910004,161.761673,589400
2017-03-28,164.679993,168.250000,164.169998,167.750000,164.547455,325900
2017-03-29,167.479996,168.509995,167.199997,167.270004,164.076630,283200
2017-03-30,167.190002,168.929993,166.699997,168.309998,165.096756,260100
2017-03-31,167.970001,169.360001,167.720001,168.669998,165.449875,597000
2017-04-03,168.669998,169.149994,165.619995,167.220001,164.027588,454300
2017-04-04,167.240005,167.759995,164.229996,164.740005,161.594910,501900
2017-04-05,165.179993,166.490005,162.899994,163.139999,160.025467,455700
2017-04-06,163.479996,165.570007,163.009995,164.410004,161.271225,447400
2017-04-07,164.199997,165.759995,164.089996,164.380005,161.241791,522700
2017-04-10,164.389999,165.369995,163.869995,164.369995,161.231995,316800
2017-04-11,164.100006,165.229996,163.220001,165.190002,162.036316,530700
2017-04-12,165.119995,165.740005,162.089996,162.630005,159.525208,798800
2017-04-13,162.380005,162.940002,161.369995,161.389999,158.308853,489300
2017-04-17,161.910004,163.509995,161.070007,163.509995,160.388397,671100
2017-04-18,162.630005,163.619995,159.910004,163.309998,160.192200,808600
2017-04-19,164.500000,165.529999,161.949997,163.770004,160.643417,957100
2017-04-20,165.360001,173.979996,165.360001,173.130005,169.824753,1732100
2017-04-21,173.020004,176.259995,173.020004,175.210007,171.865051,838700
2017-04-24,177.559998,177.800003,174.009995,175.259995,171.914078,657300
2017-04-25,176.190002,176.919998,174.699997,174.899994,171.560944,522300
2017-04-26,175.119995,175.119995,170.100006,170.229996,166.980103,1114500
2017-04-27,170.369995,171.270004,170.009995,170.320007,167.068390,619600
2017-04-28,170.490005,170.979996,166.789993,167.529999,164.331650,778600
2017-05-01,168.380005,168.380005,166.699997,167.490005,164.292419,740800
2017-05-02,167.570007,168.860001,167.339996,168.850006,165.626450,552700
2017-05-03,168.850006,168.850006,166.820007,167.240005,164.047195,627200
2017-05-04,167.490005,170.000000,167.479996,169.759995,166.519073,455500
2017-05-05,170.259995,170.479996,168.039993,170.449997,167.195892,317500
2017-05-08,169.690002,171.130005,169.690002,170.500000,167.244949,297400
2017-05-09,170.750000,171.570007,170.190002,170.690002,167.431320,310700
2017-05-10,170.679993,171.779999,170.339996,170.839996,167.578445,322400
2017-05-11,170.449997,171.720001,168.429993,171.320007,168.049301,365200
2017-05-12,170.839996,171.240005,169.199997,170.000000,166.754501,865600
2017-05-15,170.000000,171.369995,170.000000,170.919998,167.656921,446100
2017-05-16,171.039993,171.320007,169.399994,170.679993,167.421509,649200
2017-05-17,169.970001,169.970001,164.100006,164.169998,161.708466,633300
2017-05-18,164.169998,165.429993,161.960007,164.320007,161.856216,695400
2017-05-19,164.679993,166.259995,163.119995,165.710007,163.225388,553000
2017-05-22,166.000000,166.759995,163.429993,163.899994,161.442520,595300
2017-05-23,163.850006,164.309998,162.759995,163.210007,160.762863,502000
2017-05-24,163.589996,163.589996,161.330002,162.169998,159.738449,441900
