Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10.600000,10.680000,9.650000,9.970000,9.970000,23390000
2017-01-04,9.810000,10.310000,9.810000,10.280000,10.280000,13678300
2017-01-05,10.300000,10.370000,9.930000,10.320000,10.320000,16387400
2017-01-06,10.350000,10.410000,10.140000,10.250000,10.250000,11069800
2017-01-09,10.000000,10.030000,9.670000,9.750000,9.750000,15488200
2017-01-10,10.030000,10.170000,9.880000,9.970000,9.970000,15842900
2017-01-11,10.050000,10.260000,9.910000,10.250000,10.250000,9424400
2017-01-12,10.360000,10.450000,10.090000,10.100000,10.100000,15800200
2017-01-13,10.110000,10.130000,9.890000,10.040000,10.040000,10932100
2017-01-17,10.040000,10.050000,9.580000,9.680000,9.680000,16266700
2017-01-18,9.580000,9.750000,9.550000,9.690000,9.690000,13182700
2017-01-19,9.760000,9.790000,9.460000,9.510000,9.510000,13207800
2017-01-20,9.570000,9.580000,9.340000,9.410000,9.410000,14218800
2017-01-23,9.430000,9.530000,9.070000,9.190000,9.190000,20054000
2017-01-24,9.290000,9.610000,9.280000,9.500000,9.500000,18318000
2017-01-25,9.530000,9.710000,9.510000,9.610000,9.610000,11445800
2017-01-26,9.780000,9.930000,9.660000,9.790000,9.790000,15874000
2017-01-27,9.660000,9.850000,9.370000,9.420000,9.420000,11147400
2017-01-30,9.200000,9.270000,8.750000,9.130000,9.130000,19345000
2017-01-31,9.070000,9.140000,8.870000,9.010000,9.010000,18035100
2017-02-01,9.170000,9.210000,8.770000,8.880000,8.880000,13609900
2017-02-02,8.840000,9.450000,8.800000,9.320000,9.320000,16318500
2017-02-03,9.300000,9.510000,9.120000,9.430000,9.430000,21308900
2017-02-06,9.480000,9.750000,9.300000,9.330000,9.330000,16645000
2017-02-07,9.380000,9.390000,8.910000,9.190000,9.190000,14992900
2017-02-08,9.110000,9.170000,8.830000,8.880000,8.880000,15303700
2017-02-09,8.880000,9.150000,8.880000,9.100000,9.100000,11063900
2017-02-10,9.100000,9.150000,8.940000,9.010000,9.010000,9354000
2017-02-13,8.960000,9.000000,8.720000,8.830000,8.830000,12085700
2017-02-14,8.860000,8.910000,8.710000,8.900000,8.900000,12636900
2017-02-15,8.980000,9.140000,8.860000,9.030000,9.030000,11124300
2017-02-16,9.030000,9.030000,8.600000,8.610000,8.610000,11814100
2017-02-17,8.580000,8.790000,8.510000,8.680000,8.680000,18481800
2017-02-21,8.450000,8.690000,8.350000,8.590000,8.590000,12865800
2017-02-22,8.500000,8.830000,8.500000,8.570000,8.570000,11429300
2017-02-23,8.720000,8.740000,8.230000,8.350000,8.350000,14619800
2017-02-24,8.170000,8.260000,7.320000,7.350000,7.350000,40397400
2017-02-27,7.220000,7.720000,7.200000,7.610000,7.610000,27675200
2017-02-28,7.540000,7.720000,7.450000,7.510000,7.510000,21868700
2017-03-01,7.560000,7.930000,7.530000,7.720000,7.720000,18841700
2017-03-02,7.670000,7.760000,7.550000,7.590000,7.590000,14912800
2017-03-03,7.750000,7.770000,7.590000,7.710000,7.710000,11242000
2017-03-06,7.840000,8.050000,7.720000,7.940000,7.940000,13705200
2017-03-07,7.920000,7.980000,7.570000,7.610000,7.610000,16559400
2017-03-08,7.660000,7.810000,7.450000,7.460000,7.460000,13372800
2017-03-09,7.430000,7.530000,7.270000,7.460000,7.460000,17536400
2017-03-10,7.510000,7.710000,7.330000,7.440000,7.440000,16336600
2017-03-13,7.490000,7.700000,7.450000,7.600000,7.600000,9009500
2017-03-14,7.450000,7.530000,7.220000,7.380000,7.380000,12533900
2017-03-15,7.660000,7.880000,7.550000,7.810000,7.810000,13588900
2017-03-16,7.810000,7.830000,7.610000,7.750000,7.750000,9818300
