Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,53.481422,53.957996,52.786755,53.416801,51.104256,1443300
2016-05-13,53.271404,53.659126,52.342487,52.447495,50.176914,1294000
2016-05-16,52.714054,53.990307,52.633278,53.715672,51.390190,1386100
2016-05-17,53.602585,54.200321,53.392570,53.820679,51.490650,1909400
2016-05-18,53.546043,53.731827,52.584816,52.924072,50.632858,1804600
2016-05-19,52.568661,52.568661,51.195477,51.785137,49.543236,2163200
2016-05-20,52.197094,52.552505,51.801292,52.221325,49.960537,1277000
2016-05-23,52.067852,52.455574,51.712440,52.156704,49.898720,758900
2016-05-24,52.495960,53.198708,52.237480,53.109856,50.810604,937200
2016-05-25,53.360260,53.982231,53.336025,53.852989,51.521561,1722600
2016-05-26,53.901455,54.418415,53.651051,53.869144,51.863750,1228600
2016-05-27,53.739902,54.038773,53.602585,53.909531,51.902626,639900
2016-05-31,53.957996,54.264942,53.594509,53.917610,51.910408,1315700
2016-06-01,53.457188,54.159935,53.182552,54.103394,52.089279,1571000
2016-06-02,53.966076,54.200321,53.570274,54.119549,52.104832,1181200
2016-06-03,54.054928,54.394184,53.392570,53.925686,51.918186,911200
2016-06-06,54.305332,56.453957,54.054928,56.381260,54.282345,2891300
2016-06-07,56.623585,57.156704,56.478191,56.946690,54.826725,2008200
2016-06-08,57.980614,58.449112,57.714054,57.867527,55.713280,2245600
2016-06-09,57.261711,58.376415,57.261711,58.222939,56.055466,1844400
2016-06-10,57.810986,58.142166,56.833603,57.084007,54.958927,2245200
2016-06-13,56.809368,57.390953,56.542812,56.696285,54.585644,1249900
2016-06-14,56.486267,56.809368,55.856220,56.219707,54.126801,2173300
2016-06-15,56.106625,56.890144,56.074314,56.276253,54.181248,2085200
2016-06-16,55.848141,56.510502,55.137318,56.365105,54.266792,1086500
2016-06-17,56.462036,57.132473,56.462036,56.760906,54.647861,2366300
2016-06-20,57.479805,58.182552,57.237480,57.552505,55.409985,1271300
2016-06-21,57.350567,57.471729,56.768982,57.205170,55.075581,1148400
2016-06-22,57.366722,57.657513,57.011307,57.051697,54.927818,909400
2016-06-23,57.770599,58.012924,57.415184,57.883682,55.728836,1193600
2016-06-24,55.581585,56.017769,54.345718,54.491116,52.462563,2018300
2016-06-27,53.861065,53.925686,51.639740,52.180939,50.238392,2026400
2016-06-28,52.835217,53.489498,52.673668,53.481422,51.490459,1592100
2016-06-29,54.200321,55.024231,53.715672,54.894993,52.851406,1739100
2016-06-30,55.048466,56.001614,54.588047,55.993538,53.909058,1661600
2016-07-01,55.856220,56.567043,55.783524,55.864296,53.784630,1947900
2016-07-05,55.234249,55.234249,54.071083,54.200321,52.182598,2757900
2016-07-06,53.957996,54.394184,53.554119,54.305332,52.283699,2691000
2016-07-07,54.878838,56.260098,54.757675,55.516964,53.450230,4229800
2016-07-08,56.187401,56.922455,56.138935,56.817448,54.702290,2291000
