Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,32.360001,32.709999,31.660000,31.940001,31.504625,13209400
2017-01-04,32.090000,32.509998,32.060001,32.240002,31.800539,9460600
2017-01-05,32.299999,32.400002,31.910000,32.099998,31.662441,7290200
2017-01-06,32.040001,32.230000,31.860001,32.040001,31.603262,7063600
2017-01-09,32.270000,33.070000,32.209999,32.779999,32.333176,9209500
2017-01-10,32.869999,33.200001,32.740002,33.130001,32.678406,8753300
2017-01-11,33.209999,33.480000,32.799999,33.470001,33.013771,10620100
2017-01-12,33.250000,33.340000,32.599998,33.310001,32.855949,6484100
2017-01-13,33.320000,33.900002,33.299999,33.790001,33.329407,6911200
2017-01-17,33.790001,33.830002,33.090000,33.299999,32.846088,6365800
2017-01-18,33.680000,34.000000,33.529999,33.689999,33.230770,10609400
2017-01-19,33.700001,34.130001,33.669998,33.750000,33.289955,8333400
2017-01-20,33.919998,34.180000,33.770000,33.840000,33.378723,8571700
2017-01-23,33.759998,34.200001,33.560001,33.750000,33.289955,7254400
2017-01-24,33.889999,34.209999,33.880001,34.029999,33.566132,9702800
2017-01-25,34.299999,34.830002,34.220001,34.419998,33.950817,12086300
2017-01-26,34.419998,34.470001,33.849998,33.980000,33.516819,9375500
2017-01-27,34.259998,35.150002,34.220001,35.040001,34.562370,11055900
2017-01-30,34.790001,34.830002,33.770000,34.340000,33.871910,11183800
2017-01-31,34.139999,34.320000,33.930000,34.250000,33.783134,9468000
2017-02-01,34.590000,35.049999,34.500000,35.029999,34.552505,15244900
2017-02-02,34.970001,35.029999,34.639999,34.939999,34.463726,7518000
2017-02-03,34.980000,35.389999,34.980000,35.310001,34.828690,8560300
2017-02-06,35.320000,35.389999,35.009998,35.180000,34.700459,5877100
2017-02-07,35.380001,35.639999,35.070000,35.540001,35.055553,8155200
2017-02-08,35.799999,35.799999,35.180000,35.599998,35.114731,8735900
2017-02-09,35.750000,35.849998,35.380001,35.410000,34.927322,6515500
2017-02-10,35.639999,35.639999,35.090000,35.320000,34.838547,11636400
2017-02-13,35.720001,35.830002,35.369999,35.459999,34.976643,11900300
2017-02-14,35.500000,35.549999,35.119999,35.230000,34.749779,9933500
2017-02-15,35.459999,35.740002,35.259998,35.490002,35.006237,17410000
2017-02-16,35.619999,35.650002,34.580002,35.180000,34.700459,21684900
2017-02-17,34.970001,35.799999,34.720001,35.669998,35.284081,14892800
2017-02-21,35.520000,36.820000,35.520000,36.580002,36.285961,13814800
2017-02-22,36.450001,36.669998,36.209999,36.509998,36.216522,10380000
2017-02-23,36.560001,36.660000,35.900002,36.160000,35.869335,7852500
2017-02-24,35.810001,36.320000,35.549999,36.299999,36.008209,7505800
2017-02-27,36.470001,36.500000,36.099998,36.430000,36.137165,6490900
2017-02-28,36.330002,36.439999,36.099998,36.220001,35.928856,8585600
2017-03-01,36.520000,36.930000,36.500000,36.849998,36.553787,7298300
2017-03-02,36.709999,36.950001,36.330002,36.490002,36.196682,7854800
2017-03-03,36.439999,36.880001,36.419998,36.869999,36.573624,7244100
2017-03-06,36.680000,36.959999,36.509998,36.860001,36.563709,9219100
2017-03-07,36.810001,37.259998,36.750000,36.970001,36.672829,7841500
2017-03-08,37.009998,37.230000,36.959999,37.189999,36.891060,8052700
