Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,70.760002,70.870003,69.529999,70.139999,68.532547,865600
2017-01-04,70.449997,72.139999,69.970001,72.139999,70.486710,887700
2017-01-05,72.000000,72.440002,70.900002,71.430000,69.792976,647200
2017-01-06,72.290001,72.519997,71.910004,72.400002,70.740746,719600
2017-01-09,72.480003,73.389999,72.250000,72.559998,70.897072,757900
2017-01-10,72.559998,73.300003,72.279999,72.730003,71.063179,640800
2017-01-11,72.480003,72.830002,72.349998,72.699997,71.033867,399500
2017-01-12,72.459999,72.570000,71.389999,72.129997,70.476929,510700
2017-01-13,72.430000,72.949997,71.809998,72.150002,70.496483,574500
2017-01-17,72.160004,72.800003,71.949997,72.449997,70.789597,544200
2017-01-18,72.440002,73.169998,72.000000,73.169998,71.493103,760500
2017-01-19,73.150002,73.430000,72.459999,72.489998,70.828682,635800
2017-01-20,72.870003,73.089996,72.050003,72.410004,70.750519,524900
2017-01-23,72.300003,72.980003,72.010002,72.889999,71.219513,400900
2017-01-24,72.839996,73.989998,72.820000,73.830002,72.137985,645600
2017-01-25,74.169998,74.820000,73.220001,74.489998,72.782852,769700
2017-01-26,74.160004,74.339996,72.860001,73.339996,71.659195,939000
2017-01-27,73.510002,73.779999,72.989998,73.769997,72.079346,755600
2017-01-30,73.230003,73.650002,72.089996,72.910004,71.239059,1337900
2017-01-31,72.660004,73.610001,71.709999,73.019997,71.346527,1673700
2017-02-01,78.970001,80.839996,76.510002,79.650002,77.824600,3018700
2017-02-02,79.669998,80.769997,79.550003,80.010002,78.176346,1709500
2017-02-03,80.419998,80.480003,78.730003,79.050003,77.238342,977600
2017-02-06,78.800003,79.839996,78.169998,79.510002,77.687798,848100
2017-02-07,79.400002,79.860001,78.769997,79.139999,77.326271,911800
2017-02-08,78.970001,79.639999,78.660004,79.410004,77.590096,856200
2017-02-09,79.510002,79.750000,78.860001,78.900002,77.091782,741100
2017-02-10,78.849998,79.779999,78.550003,79.269997,77.453300,519400
2017-02-13,79.370003,79.889999,79.169998,79.449997,77.629158,452100
2017-02-14,79.459999,79.919998,78.820000,79.290001,77.472839,624500
2017-02-15,79.059998,79.930000,79.059998,79.540001,77.717110,481500
2017-02-16,79.830002,80.459999,79.650002,80.160004,78.322906,971600
2017-02-17,79.970001,79.980003,79.010002,79.410004,77.590096,584900
2017-02-21,79.400002,80.430000,79.260002,80.349998,78.508545,486600
2017-02-22,80.089996,80.220001,79.309998,79.809998,77.980911,476500
2017-02-23,80.139999,80.919998,79.489998,80.650002,78.801674,705700
2017-02-24,80.470001,80.870003,79.870003,80.250000,78.410843,586700
2017-02-27,80.160004,81.269997,80.019997,80.699997,79.255440,620700
2017-02-28,80.500000,81.160004,80.220001,80.709999,79.265266,652000
