Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,161.949997,165.289993,161.500000,165.149994,162.152054,1696700
2017-01-04,165.460007,165.899994,164.429993,164.940002,161.945877,1182800
2017-01-05,163.809998,165.320007,163.360001,164.800003,161.808426,1128700
2017-01-06,165.289993,168.580002,164.940002,167.889999,164.842346,1051500
2017-01-09,168.229996,169.669998,168.029999,168.869995,165.804550,1165400
2017-01-10,168.559998,172.899994,168.369995,170.940002,167.836975,1271700
2017-01-11,170.509995,173.740005,168.860001,173.710007,170.556702,1640500
2017-01-12,172.869995,173.690002,170.570007,173.490005,170.340683,1040500
2017-01-13,173.399994,174.160004,172.259995,173.350006,170.203247,646600
2017-01-17,172.529999,173.869995,171.309998,173.419998,170.271942,609500
2017-01-18,173.919998,174.089996,172.690002,173.979996,170.821793,909800
2017-01-19,173.300003,174.210007,172.679993,173.520004,170.370148,1797000
2017-01-20,173.779999,174.339996,172.029999,172.289993,169.162476,1466600
2017-01-23,172.410004,173.679993,170.800003,170.880005,167.778061,801600
2017-01-24,171.380005,171.789993,169.190002,170.360001,167.267502,784100
2017-01-25,170.889999,172.110001,170.449997,171.570007,168.455536,949800
2017-01-26,171.600006,172.440002,170.529999,171.089996,167.984253,751200
2017-01-27,172.309998,175.899994,171.860001,175.279999,172.098190,898100
2017-01-30,175.399994,175.399994,173.529999,174.820007,171.646530,984300
2017-01-31,174.410004,177.539993,174.130005,177.289993,174.071701,1545700
2017-02-01,175.880005,179.139999,174.350006,178.970001,175.721207,1715900
2017-02-02,181.000000,181.440002,176.740005,177.970001,174.739365,1285200
2017-02-03,178.750000,179.449997,177.580002,179.369995,176.113922,1170300
2017-02-06,178.630005,178.940002,177.649994,178.360001,175.122269,724000
2017-02-07,179.000000,180.000000,178.479996,178.809998,175.564117,857200
2017-02-08,178.039993,179.020004,177.440002,178.059998,174.827728,536000
2017-02-09,178.059998,179.039993,176.649994,177.809998,174.582260,1439300
2017-02-10,177.809998,178.679993,177.539993,178.029999,174.798264,597700
2017-02-13,178.520004,178.910004,177.720001,178.550003,175.308823,441800
2017-02-14,178.440002,179.000000,177.720001,178.770004,175.524841,655800
2017-02-15,177.919998,180.490005,177.919998,180.089996,176.820847,855000
2017-02-16,180.240005,180.899994,178.919998,180.619995,177.341248,921000
2017-02-17,180.199997,180.899994,179.320007,180.899994,177.616165,810300
2017-02-21,180.770004,182.649994,179.910004,182.020004,178.715836,943700
2017-02-22,181.330002,182.580002,181.130005,181.949997,178.647095,649600
2017-02-23,182.229996,182.850006,181.550003,182.300003,178.990753,612600
2017-02-24,181.979996,183.419998,181.139999,183.419998,180.090439,657600
2017-02-27,183.160004,183.880005,182.330002,182.820007,179.501343,698400
2017-02-28,182.949997,183.880005,182.449997,183.050003,179.727142,642400
2017-03-01,183.660004,186.110001,182.789993,185.339996,181.975571,758500
2017-03-02,185.000000,185.320007,183.850006,184.729996,181.376633,507400
2017-03-03,184.179993,184.940002,183.820007,184.690002,181.337372,606600
2017-03-06,183.720001,184.919998,183.220001,184.490005,181.141006,812100
