Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,133.910004,135.830002,133.660004,135.720001,135.652679,1443000
2017-01-04,136.080002,138.889999,133.699997,138.720001,138.651199,1207800
2017-01-05,139.080002,142.770004,138.330002,141.710007,141.639725,1446700
2017-01-06,141.000000,143.149994,140.990005,141.809998,141.739670,983700
2017-01-09,141.309998,142.610001,140.050003,142.350006,142.279404,986200
2017-01-10,141.240005,142.000000,140.199997,140.229996,140.160446,1245100
2017-01-11,140.559998,142.639999,139.880005,142.639999,142.569260,1418600
2017-01-12,141.539993,145.789993,141.029999,144.669998,144.598251,1726100
2017-01-13,144.309998,146.770004,143.779999,146.309998,146.237427,1488500
2017-01-17,145.949997,145.960007,144.020004,144.770004,144.698196,1079300
2017-01-18,145.399994,145.399994,140.220001,141.970001,141.899582,1974700
2017-01-19,141.330002,146.309998,133.520004,144.160004,144.088516,2538400
2017-01-20,144.779999,145.669998,143.380005,144.770004,144.698196,1333700
2017-01-23,144.320007,145.699997,142.250000,145.309998,145.237930,1576400
2017-01-24,145.210007,147.539993,144.020004,146.529999,146.457336,1260800
2017-01-25,147.020004,149.229996,146.630005,148.570007,148.496307,1211600
2017-01-26,148.279999,148.699997,146.649994,146.800003,146.727188,1017500
2017-01-27,147.559998,148.000000,145.419998,146.809998,146.737183,1100900
2017-01-30,146.779999,146.789993,144.309998,145.699997,145.627731,687400
2017-01-31,145.119995,146.529999,144.500000,146.220001,146.147476,884400
2017-02-01,147.000000,149.419998,145.360001,147.639999,147.566772,1254500
2017-02-02,149.699997,150.690002,144.029999,148.289993,148.216446,1532100
2017-02-03,149.070007,150.110001,148.100006,149.300003,149.225952,1222600
2017-02-06,148.669998,149.559998,145.979996,147.029999,146.957077,1277500
2017-02-07,147.070007,148.630005,145.929993,147.899994,147.826645,772500
2017-02-08,147.000000,148.690002,146.300003,147.839996,147.766678,652900
2017-02-09,147.740005,148.309998,145.339996,148.139999,148.066528,2312700
2017-02-10,147.550003,149.320007,145.500000,145.550003,145.477814,1918500
