Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,50.820000,51.610001,49.919998,50.610001,49.024712,7032600
2017-01-04,50.700001,51.099998,50.320000,51.080002,49.480000,4990000
2017-01-05,51.209999,51.680000,50.720001,50.930000,49.334698,4727100
2017-01-06,51.020000,51.080002,50.290001,50.740002,49.150650,3472500
2017-01-09,50.270000,50.529999,49.630001,49.660000,48.104477,5731000
2017-01-10,49.880001,50.040001,49.369999,49.660000,48.104477,5447900
2017-01-11,49.959999,51.490002,49.459999,51.220001,49.615608,8689400
2017-01-12,51.500000,51.529999,50.090000,50.150002,48.579124,6963300
2017-01-13,49.900002,50.869999,49.840000,50.590000,49.005344,4413300
2017-01-17,50.560001,50.709999,50.000000,50.150002,48.579124,4990000
2017-01-18,49.799999,50.590000,49.790001,50.270000,48.695366,4970000
2017-01-19,50.200001,50.450001,49.779999,49.860001,48.298206,4915300
2017-01-20,50.389999,51.090000,50.320000,50.730000,49.140953,5888500
2017-01-23,50.259998,50.570000,49.580002,49.939999,48.375706,5969500
2017-01-24,50.139999,51.400002,50.009998,50.270000,48.695366,5919200
2017-01-25,50.410000,51.230000,50.320000,50.689999,49.102211,5991200
2017-01-26,50.630001,51.020000,50.340000,50.630001,49.044094,4164100
2017-01-27,50.330002,50.459999,49.200001,49.430000,47.881676,5408100
2017-01-30,49.009998,49.180000,47.189999,47.480000,45.992760,10483200
2017-01-31,47.810001,48.790001,47.369999,48.759998,47.232662,7464500
2017-02-01,49.000000,49.150002,47.439999,48.500000,46.980808,10040900
2017-02-02,48.750000,49.340000,47.279999,48.689999,47.164852,8625100
2017-02-03,48.849998,50.490002,48.820000,50.430000,48.850353,8414400
2017-02-06,50.500000,50.980000,49.349998,50.090000,48.521004,8127500
2017-02-07,49.549999,50.230000,49.080002,49.419998,47.871990,7591600
2017-02-08,49.049999,50.160000,48.509998,49.599998,48.046349,8588600
2017-02-09,50.040001,50.330002,49.480000,49.810001,48.249775,6357000
2017-02-10,50.029999,50.540001,49.820000,50.139999,48.829216,5996000
2017-02-13,50.040001,50.040001,49.220001,49.700001,48.400726,6163400
2017-02-14,50.000000,50.180000,49.330002,50.139999,48.829216,6045600
2017-02-15,49.830002,50.290001,49.310001,49.360001,48.069614,7461800
2017-02-16,49.590000,49.650002,48.270000,48.340000,47.076275,9689100
2017-02-17,48.220001,48.240002,47.099998,47.509998,46.267975,10694000
2017-02-21,48.130001,48.520000,47.820000,48.130001,46.871769,9577200
2017-02-22,47.799999,47.939999,47.029999,47.099998,45.868690,8007700
2017-02-23,47.790001,47.860001,47.029999,47.299999,46.063465,7846400
2017-02-24,47.009998,47.490002,46.709999,47.040001,45.810257,6749500
2017-02-27,47.230000,47.639999,46.970001,47.360001,46.121895,6208300
2017-02-28,47.169998,47.669998,47.000000,47.570000,46.326405,6710600
2017-03-01,48.000000,49.230000,47.860001,49.049999,47.767715,9194500
2017-03-02,48.619999,48.820000,47.910000,48.209999,46.949677,5955300
2017-03-03,48.189999,48.439999,47.639999,47.820000,46.569874,5290100
2017-03-06,47.779999,48.470001,47.340000,48.320000,47.056801,6078500
2017-03-07,48.450001,48.509998,47.599998,47.720001,46.472485,5652800
2017-03-08,47.410000,47.660000,45.810001,45.910000,44.709801,9435500
2017-03-09,45.610001,46.630001,45.480000,46.480000,45.264900,7235900
2017-03-10,46.880001,46.880001,45.480000,45.669998,44.476074,8455400
2017-03-13,45.680000,46.169998,45.540001,45.840000,44.641632,6333800
2017-03-14,45.150002,45.200001,44.189999,44.939999,43.765160,10538300
