Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,105.300003,106.900002,105.209999,106.080002,104.456390,8884300
2017-01-04,106.639999,107.500000,106.250000,107.440002,105.795570,8322000
2017-01-05,107.169998,107.620003,106.790001,107.379997,105.736488,6303000
2017-01-06,108.019997,109.349998,107.750000,108.980003,107.312004,9551300
2017-01-09,108.580002,108.830002,108.110001,108.360001,106.701492,6193400
2017-01-10,107.900002,108.820000,107.349998,108.379997,106.721184,7901900
2017-01-11,108.540001,109.489998,108.379997,109.440002,107.764969,7616800
2017-01-12,108.120003,109.000000,107.430000,107.529999,105.884193,8218900
2017-01-13,107.160004,108.349998,106.900002,108.059998,106.406082,6489000
2017-01-17,107.910004,108.930000,107.650002,107.970001,106.317459,7583100
2017-01-18,106.930000,108.400002,106.809998,108.160004,106.504555,7162900
2017-01-19,107.919998,108.010002,107.080002,107.279999,105.638016,5350200
2017-01-20,107.349998,107.820000,107.180000,107.660004,106.012207,5649000
2017-01-23,107.339996,107.680000,106.570000,107.120003,105.480476,5716600
2017-01-24,107.199997,108.059998,107.080002,107.900002,106.248535,5456100
2017-01-25,108.230003,108.419998,108.000000,108.040001,106.386391,6180200
2017-01-26,108.209999,108.620003,107.980003,108.059998,106.406082,6088100
2017-01-27,108.489998,109.400002,108.150002,109.300003,107.627106,5578300
2017-01-30,109.860001,111.050003,108.959999,110.940002,109.242004,13793600
2017-01-31,110.589996,110.800003,109.980003,110.650002,108.956436,8485800
2017-02-01,110.709999,111.989998,110.680000,111.300003,109.596497,10501300
2017-02-02,111.209999,111.540001,110.550003,110.610001,108.917053,6515900
2017-02-03,110.900002,111.150002,110.209999,110.300003,108.611801,7923400
2017-02-06,109.919998,110.150002,109.300003,109.570000,107.892975,6896300
2017-02-07,109.650002,109.730003,108.769997,109.000000,107.331696,10184800
2017-02-08,109.559998,111.419998,108.980003,109.000000,107.331696,13615500
2017-02-09,109.000000,109.849998,109.000000,109.489998,107.814194,6369700
2017-02-10,109.349998,109.800003,108.580002,109.260002,107.587723,7671800
2017-02-13,108.949997,109.900002,108.900002,109.650002,107.971748,5653200
2017-02-14,109.800003,110.330002,109.529999,110.330002,108.641342,4764100
2017-02-15,109.910004,110.680000,109.800003,110.180000,108.493629,7087100
2017-02-16,110.339996,110.870003,110.089996,110.709999,109.015518,7179600
2017-02-17,110.239998,110.500000,109.519997,110.059998,108.375473,6349200
2017-02-21,109.940002,110.209999,109.800003,110.010002,108.326241,5432700
2017-02-22,109.690002,110.279999,109.529999,110.120003,108.434555,5478400
2017-02-23,110.300003,110.489998,109.589996,109.730003,108.050529,5470400
2017-02-24,109.620003,110.320000,109.099998,110.320000,108.631493,4786800
2017-02-27,109.930000,110.470001,109.830002,110.230003,108.542877,3547700
2017-02-28,110.000000,110.400002,109.830002,110.089996,108.405014,4766000
