Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,71.760002,71.959999,71.070000,71.750000,68.497368,1971400
2017-01-04,71.940002,72.599998,71.779999,72.360001,69.079727,1790700
2017-01-05,72.480003,72.730003,71.730003,72.099998,68.831497,2270100
2017-01-06,71.820000,72.059998,71.559998,71.690002,68.440094,2066200
2017-01-09,71.910004,72.080002,70.930000,71.019997,67.800468,1251800
2017-01-10,71.080002,71.330002,70.570000,71.110001,67.886383,1258200
2017-01-11,71.070000,72.309998,71.070000,72.129997,68.860138,1505500
2017-01-12,72.059998,72.489998,71.830002,72.379997,69.098808,1176400
2017-01-13,72.239998,72.489998,71.610001,72.099998,68.831497,979300
2017-01-17,72.389999,72.889999,72.290001,72.510002,69.222931,1673400
2017-01-18,72.610001,72.949997,72.180000,72.300003,69.022423,1173500
2017-01-19,72.099998,72.550003,71.540001,71.720001,68.468727,1219100
2017-01-20,71.870003,72.309998,71.570000,71.970001,68.707397,921200
2017-01-23,72.080002,72.160004,71.629997,71.820000,68.564186,1037200
2017-01-24,71.720001,72.110001,71.480003,72.000000,68.736031,1522500
2017-01-25,71.750000,71.989998,71.550003,71.730003,68.478279,862000
2017-01-26,71.800003,72.269997,71.589996,71.959999,68.697845,1061600
2017-01-27,72.330002,72.330002,71.790001,72.000000,68.736031,1047500
2017-01-30,72.290001,72.290001,71.349998,71.930000,68.669205,993200
2017-01-31,72.059998,72.900002,71.730003,72.879997,69.576149,2880900
2017-02-01,72.349998,72.580002,71.500000,71.599998,68.354172,1413200
2017-02-02,71.769997,72.650002,71.480003,72.610001,69.318390,1931400
2017-02-03,72.000000,72.739998,71.800003,72.540001,69.251572,2098300
2017-02-06,72.830002,73.160004,72.389999,72.750000,69.452034,1531800
2017-02-07,72.730003,73.120003,72.510002,73.050003,69.738441,1801000
2017-02-08,73.699997,75.089996,73.589996,74.830002,71.437744,3261400
2017-02-09,74.830002,74.989998,74.320000,74.760002,71.370918,1849100
2017-02-10,74.239998,75.230003,74.110001,75.209999,71.800522,1598300
2017-02-13,75.199997,75.639999,74.980003,75.559998,72.134651,1242100
2017-02-14,75.570000,75.610001,74.839996,75.389999,71.972359,1483300
2017-02-15,74.830002,75.099998,74.260002,74.980003,71.580956,1890700
2017-02-16,75.129997,75.820000,75.099998,75.790001,72.354225,1254300
2017-02-17,75.820000,76.430000,75.820000,76.339996,72.879288,1984400
2017-02-21,76.040001,77.349998,75.910004,77.220001,73.719406,1852900
2017-02-22,77.500000,77.639999,76.510002,77.190002,73.690765,3380000
2017-02-23,77.570000,78.040001,77.389999,77.900002,74.368576,1750900
2017-02-24,78.129997,78.940002,78.050003,78.870003,75.294601,1926200
2017-02-27,78.930000,79.209999,78.480003,79.000000,75.418724,1530400
2017-02-28,79.029999,79.940002,78.940002,79.739998,76.125168,2506800
2017-03-01,78.919998,79.980003,78.449997,79.379997,75.781479,2710000
2017-03-02,78.940002,80.610001,78.889999,79.919998,76.297005,2041800
2017-03-03,79.860001,79.989998,78.870003,79.489998,75.886490,1821300
2017-03-06,79.400002,79.610001,79.099998,79.349998,75.752838,1567400
2017-03-07,79.300003,79.620003,79.129997,79.250000,75.657372,1820600
2017-03-08,78.760002,78.760002,77.949997,78.120003,74.578606,1868900
2017-03-09,78.150002,78.540001,77.930000,78.000000,74.464043,1631300
2017-03-10,78.510002,78.980003,78.199997,78.809998,75.237320,1586900
2017-03-13,78.750000,79.190002,78.599998,79.080002,75.495079,1233400
2017-03-14,78.720001,78.720001,77.889999,78.419998,74.865005,3502900
2017-03-15,78.779999,80.040001,78.519997,79.809998,76.191986,2573800
2017-03-16,79.500000,79.610001,78.900002,79.180000,75.590553,1610000
2017-03-17,79.260002,79.910004,79.139999,79.599998,75.991508,3897600
2017-03-20,79.699997,79.860001,78.540001,78.800003,75.227783,1691300
2017-03-21,78.650002,79.809998,78.529999,79.559998,75.953316,1786100
2017-03-22,79.900002,80.529999,79.599998,79.860001,76.239716,1867900
2017-03-23,79.739998,80.540001,79.540001,80.190002,76.554764,1971500
2017-03-24,79.989998,80.989998,79.949997,80.709999,77.051178,1266500
2017-03-27,80.980003,81.330002,80.160004,80.500000,76.850708,1334400
2017-03-28,80.309998,80.980003,80.010002,80.900002,77.232574,1421300
2017-03-29,80.150002,80.199997,79.550003,79.820000,76.715973,1669300
2017-03-30,79.620003,79.760002,79.150002,79.489998,76.398804,991600
2017-03-31,79.430000,80.070000,79.430000,79.610001,76.514145,1217400
2017-04-03,79.620003,79.949997,78.849998,79.949997,76.840927,2214700
2017-04-04,79.860001,80.330002,79.620003,79.970001,76.860138,1550500
2017-04-05,79.949997,80.680000,79.620003,80.589996,77.456032,1613600
2017-04-06,80.309998,80.800003,80.029999,80.459999,77.331085,2141200
2017-04-07,80.620003,80.860001,80.230003,80.250000,77.129257,2044400
