Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,36.080002,36.439999,35.860001,36.389999,36.054420,4612200
2017-01-04,36.290001,36.790001,36.070000,36.730000,36.391285,2645600
2017-01-05,36.549999,36.959999,36.330002,36.610001,36.272392,4048800
2017-01-06,36.160000,36.730000,35.900002,36.400002,36.064331,3646000
2017-01-09,36.090000,36.439999,35.759998,35.889999,35.559032,4640300
2017-01-10,36.340000,36.340000,35.709999,35.790001,35.459953,2693700
2017-01-11,35.980000,36.810001,35.910000,36.669998,36.331841,3923500
2017-01-12,37.029999,37.090000,35.939999,36.000000,35.668018,7202800
2017-01-13,35.619999,35.950001,35.119999,35.849998,35.519398,40555700
2017-01-17,35.889999,36.139999,34.919998,35.349998,35.024010,52975000
2017-01-18,34.860001,35.220001,34.450001,34.919998,34.597977,12650600
2017-01-19,34.720001,34.900002,34.169998,34.200001,33.884621,6208000
2017-01-20,34.299999,34.459999,34.029999,34.139999,33.825169,6782500
2017-01-23,33.840000,33.840000,33.169998,33.470001,33.161350,6883500
2017-01-24,33.730000,34.650002,33.660000,34.209999,33.894524,4182400
2017-01-25,34.509998,35.340000,34.490002,35.270000,34.944752,6108500
2017-01-26,35.060001,35.439999,35.040001,35.250000,34.924934,4287200
2017-01-27,35.700001,35.730000,35.150002,35.299999,34.974472,2923500
2017-01-30,34.610001,34.700001,33.180000,33.299999,32.992916,4577200
2017-01-31,33.430000,33.660000,32.840000,33.619999,33.309963,5311600
2017-02-01,33.689999,33.910000,33.320000,33.709999,33.399136,4302100
2017-02-02,33.450001,33.459999,32.709999,32.919998,32.616417,3096700
2017-02-03,32.560001,33.410000,32.560001,33.410000,33.101902,3489400
2017-02-06,32.759998,32.830002,31.980000,32.029999,31.734627,3830300
2017-02-07,31.480000,31.770000,31.120001,31.469999,31.179792,5801500
2017-02-08,30.790001,31.490000,30.610001,31.219999,30.932096,3921100
2017-02-09,31.160000,31.510000,30.990000,31.250000,30.961821,4592300
2017-02-10,31.190001,31.780001,31.180000,31.760000,31.467117,5283700
2017-02-13,31.930000,32.060001,31.620001,31.850000,31.556288,2764100
2017-02-14,32.169998,32.340000,31.670000,32.330002,32.031864,3555100
2017-02-15,32.240002,32.830002,32.220001,32.680000,32.378632,5785300
2017-02-16,32.439999,32.779999,32.279999,32.480000,32.180481,4144500
2017-02-17,32.180000,32.330002,32.029999,32.099998,31.803982,2275900
2017-02-21,32.410000,32.750000,32.360001,32.709999,32.408356,2838800
2017-02-22,32.549999,32.840000,32.279999,32.689999,32.388542,4301000
2017-02-23,33.230000,33.349998,32.590000,32.880001,32.576790,4382300
2017-02-24,31.879999,32.340000,31.879999,32.299999,32.002136,4322800
2017-02-27,32.040001,33.410000,32.000000,33.029999,32.725403,5143800
2017-02-28,32.560001,32.580002,32.189999,32.320000,32.021954,5773500
2017-03-01,32.529999,33.349998,32.520000,33.189999,32.883930,3061900
2017-03-02,33.169998,33.720001,33.099998,33.139999,32.834393,2669100
2017-03-03,33.270000,33.349998,32.419998,32.520000,32.220108,1844000
2017-03-06,32.200001,32.349998,32.029999,32.279999,31.982323,2303300
2017-03-07,32.029999,32.099998,31.660000,31.900000,31.605827,2615700
2017-03-08,31.610001,31.959999,31.480000,31.590000,31.298687,5051400
2017-03-09,31.280001,31.590000,30.730000,31.500000,31.209515,5913900
2017-03-10,31.540001,31.799999,31.430000,31.700001,31.407673,3279200
2017-03-13,31.719999,32.040001,31.660000,31.790001,31.496843,2516200
2017-03-14,31.290001,31.490000,30.959999,31.370001,31.080715,3116300
2017-03-15,31.510000,32.119999,31.350000,32.040001,31.744537,3430700
2017-03-16,32.110001,32.130001,31.530001,31.820000,31.526566,3102900
2017-03-17,31.750000,31.930000,31.250000,31.690001,31.397764,11683100
