Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,21.900000,22.170000,21.799999,22.120001,21.347473,5222600
2017-01-04,22.200001,22.770000,22.200001,22.600000,21.810709,6466100
2017-01-05,22.440001,22.639999,22.120001,22.610001,21.820360,5411700
2017-01-06,22.600000,22.650000,22.309999,22.459999,21.675594,4831600
2017-01-09,22.469999,22.500000,22.170000,22.219999,21.443981,3447300
2017-01-10,22.320000,22.660000,22.270000,22.430000,21.646645,6031100
2017-01-11,22.430000,22.480000,21.900000,21.930000,21.164106,4907800
2017-01-12,21.850000,22.059999,21.580000,21.920000,21.154457,3125700
2017-01-13,21.930000,22.139999,21.930000,22.059999,21.289568,3141700
2017-01-17,22.170000,22.900000,22.170000,22.860001,22.061630,5965400
2017-01-18,22.900000,23.000000,21.930000,22.010000,21.241314,6623000
2017-01-19,22.139999,22.299999,22.010000,22.080000,21.308868,4074100
2017-01-20,22.110001,22.379999,22.000000,22.370001,21.588739,3044600
2017-01-23,22.299999,22.639999,22.170000,22.530001,21.743155,4560600
2017-01-24,22.570000,22.740000,22.500000,22.629999,21.839659,3233100
2017-01-25,22.980000,23.950001,22.980000,23.830000,22.997751,8814400
2017-01-26,23.799999,23.980000,23.610001,23.639999,22.814384,6951600
2017-01-27,23.600000,23.730000,22.879999,22.879999,22.080929,7956200
2017-01-30,22.889999,23.440001,22.549999,23.330000,22.515215,6796900
2017-01-31,22.980000,23.750000,22.700001,23.709999,22.881941,11092800
2017-02-01,23.730000,23.740000,23.070000,23.230000,22.418705,5840300
2017-02-02,23.110001,23.219999,22.570000,22.709999,21.916866,7459100
2017-02-03,20.000000,20.000000,18.910000,18.980000,18.317135,36597000
2017-02-06,19.110001,19.760000,19.059999,19.320000,18.645262,19807700
2017-02-07,19.320000,19.700001,19.200001,19.299999,18.625956,11589800
2017-02-08,19.480000,20.049999,19.420000,19.889999,19.195353,13787800
2017-02-09,19.889999,20.500000,19.889999,20.240000,19.533131,10000500
2017-02-10,20.370001,20.920000,20.280001,20.850000,20.272064,8495700
2017-02-13,21.020000,21.040001,20.370001,20.450001,19.883152,8045200
2017-02-14,20.660000,21.120001,20.660000,20.850000,20.272064,6749800
2017-02-15,20.809999,21.209999,20.730000,21.129999,20.544300,7131600
2017-02-16,21.170000,21.309999,20.760000,20.850000,20.272064,5091600
2017-02-17,20.770000,21.020000,20.709999,21.020000,20.437351,8313700
2017-02-21,21.020000,21.250000,20.850000,20.980000,20.398458,5630300
2017-02-22,21.090000,21.330000,20.969999,21.270000,20.680424,5607300
2017-02-23,21.160000,21.480000,20.879999,20.920000,20.340124,7871500
2017-02-24,20.930000,21.530001,20.799999,21.379999,20.787371,8587300
2017-02-27,21.010000,21.250000,20.410000,20.650000,20.077608,12525900
2017-02-28,20.639999,20.790001,19.959999,20.010000,19.455349,8465100
2017-03-01,20.120001,20.219999,19.850000,20.100000,19.542854,6582900
2017-03-02,20.290001,20.490000,20.170000,20.350000,19.785923,6146200
