Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,41.500000,41.810001,41.279999,41.799999,40.086254,14711000
2017-01-04,41.880001,41.970001,41.590000,41.650002,39.942406,9959400
2017-01-05,41.660000,41.860001,41.529999,41.750000,40.038300,8968300
2017-01-06,41.700001,41.810001,41.540001,41.740002,40.028717,10246600
2017-01-09,41.230000,41.580002,41.209999,41.320000,39.625935,14800400
2017-01-10,41.439999,41.439999,40.860001,41.040001,39.357418,19706800
2017-01-11,40.849998,41.119999,40.830002,41.049999,39.367008,9266200
2017-01-12,41.009998,41.040001,40.799999,40.950001,39.271107,8541200
2017-01-13,41.000000,41.040001,40.689999,40.880001,39.203972,8123500
2017-01-17,40.840000,41.299999,40.799999,41.220001,39.530033,12455600
2017-01-18,41.250000,41.380001,41.139999,41.290001,39.597164,10390500
2017-01-19,41.139999,41.290001,41.029999,41.139999,39.453312,10987100
2017-01-20,41.270000,41.439999,41.130001,41.320000,39.625935,14695400
2017-01-23,41.310001,41.500000,41.209999,41.430000,39.731419,11628900
2017-01-24,41.470001,41.970001,41.470001,41.900002,40.182156,17040100
2017-01-25,41.939999,42.250000,41.900002,42.119999,40.393135,12538200
2017-01-26,42.029999,42.110001,41.790001,41.810001,40.095844,8976800
2017-01-27,41.910000,41.950001,41.419998,41.450001,39.750607,12967400
2017-01-30,41.299999,41.480000,41.209999,41.380001,39.683472,11626200
2017-01-31,41.389999,41.689999,41.360001,41.570000,39.865688,12678000
2017-02-01,41.520000,41.660000,41.250000,41.259998,39.568390,11136100
2017-02-02,41.410000,41.490002,41.250000,41.400002,39.702656,9459700
2017-02-03,41.580002,41.790001,41.459999,41.540001,39.836914,11882400
2017-02-06,41.529999,41.669998,41.400002,41.560001,39.856094,15742800
2017-02-07,41.700001,41.980000,41.669998,41.900002,40.182156,13315200
2017-02-08,41.910000,42.150002,41.840000,42.020000,40.297234,14219700
2017-02-09,42.020000,42.020000,40.720001,41.250000,39.558807,27240300
2017-02-10,41.020000,41.200001,40.549999,40.580002,38.916275,28847300
2017-02-13,40.770000,40.830002,40.500000,40.619999,38.954632,23617100
2017-02-14,40.380001,40.599998,40.220001,40.529999,38.868317,32163400
2017-02-15,40.419998,40.630001,40.400002,40.439999,38.782013,26600800
2017-02-16,40.549999,41.279999,40.500000,41.200001,39.510857,22214800
2017-02-17,41.130001,41.360001,41.049999,41.230000,39.539619,15065100
2017-02-21,41.200001,41.500000,41.200001,41.459999,39.760189,17072600
2017-02-22,41.509998,41.680000,41.400002,41.599998,39.894455,11186800
2017-02-23,41.669998,42.000000,41.619999,41.660000,39.951988,12856800
2017-02-24,41.700001,41.910000,41.599998,41.779999,40.067074,13215300
2017-02-27,41.750000,41.750000,41.590000,41.669998,39.961582,12186400
2017-02-28,41.680000,42.070000,41.639999,41.959999,40.239693,15946800
2017-03-01,42.009998,42.349998,41.880001,42.160000,40.431496,14662000
2017-03-02,42.080002,42.560001,42.070000,42.470001,40.728783,15507600
2017-03-03,42.470001,42.490002,42.250000,42.480000,40.738377,11740000
2017-03-06,42.340000,42.430000,42.119999,42.180000,40.450672,16307800
2017-03-07,42.000000,42.240002,41.950001,41.990002,40.268463,11273700
2017-03-08,42.000000,42.029999,41.740002,41.990002,40.268463,14636000
2017-03-09,42.090000,42.110001,41.919998,42.029999,40.306824,14496400
2017-03-10,42.230000,42.400002,42.150002,42.290001,40.556168,16369700
2017-03-13,41.919998,42.119999,41.840000,42.029999,40.662586,12831500
2017-03-14,41.980000,42.099998,41.830002,41.970001,40.604542,9844500
2017-03-15,41.980000,42.279999,41.970001,42.119999,40.749660,22757800
2017-03-16,42.029999,42.389999,41.900002,42.250000,40.875431,16004200
2017-03-17,42.279999,42.349998,42.009998,42.029999,40.662586,37526500
2017-03-20,42.099998,42.340000,42.070000,42.180000,40.807705,11484200
2017-03-21,42.310001,42.630001,42.209999,42.500000,41.117294,17187300
2017-03-22,42.560001,42.700001,42.250000,42.380001,41.001202,11605500
2017-03-23,42.209999,42.389999,42.060001,42.169998,40.798031,11503300
2017-03-24,42.230000,42.250000,41.910000,42.119999,40.749660,13804400
2017-03-27,42.110001,42.340000,42.049999,42.320000,40.943153,12387400
2017-03-28,42.240002,42.560001,42.240002,42.430000,41.049572,14123800
2017-03-29,42.509998,42.529999,42.290001,42.419998,41.039894,9580100
2017-03-30,42.349998,42.619999,42.259998,42.599998,41.214043,11999900
2017-03-31,42.549999,42.650002,42.430000,42.439999,41.059246,11551800
2017-04-03,42.580002,42.630001,42.270000,42.410000,41.030228,11240000
2017-04-04,42.509998,42.689999,42.369999,42.680000,41.291443,10946200
2017-04-05,42.650002,42.860001,42.529999,42.570000,41.185017,10142800
2017-04-06,42.580002,42.759998,42.470001,42.669998,41.281761,14597800
2017-04-07,42.639999,42.740002,42.509998,42.610001,41.223721,11028800
2017-04-10,42.730000,42.799999,42.560001,42.689999,41.301113,9426900
