Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,49.480000,49.950001,48.700001,49.759998,48.539978,1340500
2017-01-04,50.000000,50.980000,49.759998,50.910000,49.661785,1677200
2017-01-05,50.500000,50.689999,48.450001,48.599998,47.408424,2510900
2017-01-06,48.529999,48.799999,48.150002,48.299999,47.115776,1608800
2017-01-09,48.220001,48.660000,47.810001,48.349998,47.164547,946000
2017-01-10,48.939999,49.360001,48.560001,49.020000,47.818127,931100
2017-01-11,49.000000,49.320000,48.630001,49.230000,48.022972,1317500
2017-01-12,49.070000,49.450001,48.689999,49.369999,48.159542,788200
2017-01-13,49.470001,50.049999,49.450001,49.910000,48.686302,614500
2017-01-17,49.549999,49.990002,48.959999,49.119999,47.915672,822500
2017-01-18,49.150002,49.529999,48.660000,49.349998,48.140030,1070400
2017-01-19,49.540001,49.540001,48.360001,48.590000,47.398670,1049800
2017-01-20,48.619999,49.250000,48.540001,48.900002,47.701065,1007000
2017-01-23,48.759998,49.180000,48.180000,48.639999,47.447441,852400
2017-01-24,48.930000,49.410000,48.689999,49.369999,48.159542,1092400
2017-01-25,49.869999,50.230000,49.360001,49.810001,48.588757,809300
2017-01-26,49.849998,50.299999,49.270000,49.930000,48.705811,1684500
2017-01-27,45.450001,46.779999,45.000000,46.299999,45.164814,3222000
2017-01-30,46.110001,46.250000,45.349998,46.230000,45.096527,1375100
2017-01-31,46.150002,47.110001,45.480000,47.060001,45.906185,1680500
2017-02-01,47.490002,48.340000,47.000000,47.220001,46.062256,1140100
2017-02-02,47.049999,47.959999,46.880001,47.650002,46.481720,1547800
2017-02-03,47.779999,48.689999,47.779999,48.610001,47.418175,1110800
2017-02-06,48.419998,48.660000,48.180000,48.369999,47.184063,1123000
2017-02-07,48.560001,48.639999,47.200001,47.369999,46.208576,1690800
2017-02-08,47.259998,47.259998,46.730000,46.919998,45.769611,2019900
2017-02-09,47.230000,47.740002,47.180000,47.200001,46.042747,1174500
2017-02-10,47.509998,47.570000,46.959999,47.209999,46.052502,1357800
2017-02-13,47.400002,47.770000,47.369999,47.509998,46.345142,589600
2017-02-14,47.360001,47.639999,47.150002,47.470001,46.306126,1348300
2017-02-15,47.349998,48.250000,47.349998,48.150002,46.969456,739200
2017-02-16,48.270000,48.500000,47.680000,48.070000,46.891415,1690300
2017-02-17,47.990002,48.590000,47.689999,48.590000,47.398670,811800
2017-02-21,48.200001,48.799999,48.080002,48.599998,47.408424,1013100
2017-02-22,48.380001,48.610001,47.770000,48.250000,47.300587,1038200
2017-02-23,48.189999,48.560001,47.849998,47.980000,47.035896,2292700
2017-02-24,47.450001,47.959999,46.980000,47.959999,47.016289,744400
2017-02-27,48.049999,48.169998,47.720001,47.959999,47.016289,757600
2017-02-28,47.930000,48.279999,47.599998,48.240002,47.290787,1168700
2017-03-01,48.970001,49.490002,48.270000,48.310001,47.359406,1524700
2017-03-02,48.160000,48.419998,47.250000,47.509998,46.575142,3002100
2017-03-03,47.560001,47.680000,47.099998,47.490002,46.555546,1456000
2017-03-06,47.230000,47.509998,46.970001,47.310001,46.379082,919600
2017-03-07,47.340000,47.720001,47.130001,47.529999,46.594753,775000
2017-03-08,47.810001,48.500000,47.750000,48.480000,47.526062,1264800
2017-03-09,48.410000,48.660000,47.369999,47.540001,46.604557,889200
2017-03-10,48.419998,48.419998,47.770000,48.209999,47.261372,1520900
2017-03-13,48.230000,48.540001,48.060001,48.299999,47.349602,653600
2017-03-14,48.209999,48.320000,47.799999,48.169998,47.222160,566900
2017-03-15,48.220001,48.709999,47.880001,48.689999,47.731930,782500
2017-03-16,48.759998,49.509998,48.700001,49.380001,48.408352,989100
2017-03-17,49.450001,49.619999,49.029999,49.540001,48.565201,875900
2017-03-20,49.520000,49.720001,48.849998,49.070000,48.104450,880000
2017-03-21,49.410000,49.529999,48.599998,48.730000,47.771141,1392400
2017-03-22,48.560001,49.029999,48.230000,48.580002,47.624092,1138700
2017-03-23,48.570000,49.070000,48.549999,48.709999,47.751530,967100
2017-03-24,48.779999,49.049999,48.060001,48.189999,47.241764,835500
2017-03-27,47.060001,47.549999,46.830002,47.150002,46.222233,1439200
2017-03-28,47.080002,47.869999,46.869999,47.450001,46.516327,1541800
2017-03-29,47.450001,48.110001,47.220001,48.000000,47.055504,793600
2017-03-30,47.959999,48.650002,47.939999,48.619999,47.663300,659800
2017-03-31,48.570000,48.939999,48.570000,48.830002,47.869171,705200
2017-04-03,48.830002,48.830002,46.740002,46.860001,45.937939,1373900
2017-04-04,46.599998,46.619999,45.090000,45.959999,45.055641,2249800
2017-04-05,46.240002,46.849998,45.570000,45.680000,44.781155,1559400
2017-04-06,45.689999,46.060001,45.130001,45.730000,44.830173,988000
2017-04-07,45.580002,45.759998,45.209999,45.240002,44.349815,880600
2017-04-10,45.520000,45.910000,45.230000,45.290001,44.398830,1184100
2017-04-11,45.139999,45.939999,44.689999,45.939999,45.036041,956000
2017-04-12,45.950001,45.950001,44.610001,44.840000,43.957680,1244100
2017-04-13,44.750000,45.400002,44.480000,44.490002,43.614574,2032900
2017-04-17,44.630001,44.790001,44.400002,44.759998,43.879253,1214900
2017-04-18,44.439999,45.150002,44.240002,44.910000,44.026306,1586400
2017-04-19,45.110001,45.389999,44.930000,45.200001,44.310600,1746400
2017-04-20,45.490002,45.930000,45.080002,45.910000,45.006630,1684600
2017-04-21,45.020000,47.250000,44.090000,47.180000,46.251640,3364700
2017-04-24,48.040001,48.209999,46.990002,47.639999,46.702583,1481600
2017-04-25,47.959999,48.020000,47.299999,47.299999,46.369274,1164800
