Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,57.110001,57.200001,56.580002,56.869999,55.424854,1174700
2017-01-04,57.090000,57.410000,56.959999,56.970001,55.522316,1348600
2017-01-05,56.990002,57.549999,56.950001,57.209999,55.756210,1113100
2017-01-06,57.099998,57.310001,56.930000,57.029999,55.580784,1147500
2017-01-09,57.070000,57.209999,56.410000,56.419998,54.986286,1374900
2017-01-10,56.240002,56.740002,56.169998,56.689999,55.249428,1210200
2017-01-11,56.619999,57.060001,56.520000,56.910000,55.463837,1260600
2017-01-12,56.910000,57.130001,56.650002,57.099998,55.649010,1081800
2017-01-13,57.150002,57.480000,57.080002,57.240002,55.785454,962700
2017-01-17,57.110001,57.230000,56.830002,56.910000,55.463837,877000
2017-01-18,56.930000,57.380001,56.880001,57.360001,55.902401,943900
2017-01-19,56.990002,57.459999,56.990002,57.310001,55.853668,1239400
2017-01-20,57.430000,57.590000,57.160000,57.360001,55.902401,985400
2017-01-23,57.410000,57.549999,57.009998,57.240002,55.785454,1278500
2017-01-24,57.259998,57.590000,57.139999,57.540001,56.077831,968100
2017-01-25,57.599998,58.080002,57.549999,57.820000,56.350712,2194600
2017-01-26,57.910000,58.080002,57.580002,57.650002,56.185032,1181800
2017-01-27,57.849998,57.970001,57.459999,57.509998,56.048592,918000
2017-01-30,57.599998,57.599998,57.340000,57.450001,55.990116,748500
2017-01-31,57.480000,57.779999,57.290001,57.380001,55.921894,994800
2017-02-01,57.369999,57.660000,56.830002,56.900002,55.454098,1876800
2017-02-02,56.990002,57.410000,56.919998,57.349998,55.892654,1638700
2017-02-03,57.610001,57.900002,57.439999,57.580002,56.116814,1736700
2017-02-06,57.669998,57.759998,57.310001,57.360001,55.902401,903700
2017-02-07,57.400002,57.919998,57.369999,57.650002,56.185032,1134900
2017-02-08,57.599998,57.790001,57.529999,57.740002,56.272747,1260300
2017-02-09,57.779999,57.980000,57.650002,57.860001,56.389698,957500
2017-02-10,57.779999,58.349998,57.740002,57.959999,56.487156,1154900
2017-02-13,58.080002,58.639999,58.080002,58.490002,57.003685,1114400
2017-02-14,58.209999,58.580002,58.150002,58.430000,56.945213,989400
2017-02-15,58.090000,59.189999,58.060001,59.110001,57.607929,1299800
2017-02-16,58.919998,59.119999,58.680000,59.049999,57.549458,1922900
2017-02-17,59.220001,60.790001,58.599998,60.750000,59.206261,2822500
2017-02-21,60.500000,61.529999,60.470001,61.220001,59.664318,1821700
2017-02-22,61.349998,61.720001,61.200001,61.680000,60.112625,1402100
2017-02-23,61.840000,61.980000,61.250000,61.570000,60.005421,1337800
2017-02-24,61.549999,61.639999,61.160000,61.349998,59.791008,1992900
2017-02-27,61.380001,61.799999,61.380001,61.750000,60.180851,980900
2017-02-28,61.689999,62.000000,61.650002,61.950001,60.375763,1314900
2017-03-01,62.150002,62.340000,61.619999,62.200001,60.619411,1395400
2017-03-02,62.040001,62.389999,61.860001,62.230000,60.648651,1184800
2017-03-03,62.250000,62.250000,61.849998,62.009998,60.434238,1322500
2017-03-06,61.740002,62.119999,61.700001,61.930000,60.356270,1428900
2017-03-07,61.770000,62.240002,61.660000,62.080002,60.502464,1011400
2017-03-08,61.939999,62.360001,61.810001,62.110001,60.531700,955500
2017-03-09,62.130001,62.360001,62.009998,62.299999,60.716869,1525800
2017-03-10,62.570000,62.810001,62.330002,62.770000,61.174927,1080400
2017-03-13,62.650002,62.990002,62.490002,62.990002,61.389336,1016600
2017-03-14,62.910000,63.000000,62.669998,62.869999,61.272385,953300
2017-03-15,62.860001,63.770000,62.709999,63.689999,62.071545,1430000
2017-03-16,63.560001,63.840000,62.889999,63.060001,61.457558,1418500
2017-03-17,63.189999,63.610001,63.099998,63.369999,61.759678,1771700
2017-03-20,63.310001,63.459999,63.220001,63.220001,61.613495,777200
2017-03-21,63.490002,63.509998,62.419998,62.580002,60.989761,1725800
2017-03-22,62.770000,62.970001,62.639999,62.750000,61.155434,1385000
