Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,49.150002,49.250000,48.669998,49.040001,46.203110,3974400
2017-01-04,49.020000,49.299999,48.840000,48.990002,46.156006,3864000
2017-01-05,49.049999,49.209999,48.610001,49.139999,46.297325,4844400
2017-01-06,48.959999,49.200001,48.759998,49.009998,46.174839,4800200
2017-01-09,48.900002,49.160000,48.480000,48.529999,45.722610,4260900
2017-01-10,48.599998,48.599998,48.189999,48.380001,45.581287,3569400
2017-01-11,48.279999,48.820000,48.250000,48.740002,45.920464,2636400
2017-01-12,48.799999,49.099998,48.540001,49.000000,46.165424,3500500
2017-01-13,48.830002,48.919998,48.400002,48.799999,45.976997,3590700
2017-01-17,48.950001,49.730000,48.889999,49.689999,46.815506,4875200
2017-01-18,49.549999,49.849998,49.500000,49.619999,46.749557,3444500
2017-01-19,49.279999,49.500000,48.900002,49.049999,46.212532,3738500
2017-01-20,49.090000,49.250000,48.820000,49.060001,46.221954,3598500
2017-01-23,49.209999,49.299999,48.820000,48.830002,46.005257,3170500
2017-01-24,48.830002,49.139999,48.500000,48.570000,45.760296,5507300
2017-01-25,48.470001,48.520000,48.230000,48.490002,45.684929,4373400
2017-01-26,48.450001,48.740002,48.340000,48.630001,45.816833,3485700
2017-01-27,48.740002,48.860001,48.360001,48.480000,45.675507,4255200
2017-01-30,48.619999,48.669998,48.250000,48.660000,45.845097,4040900
2017-01-31,48.740002,49.599998,48.680000,49.430000,46.570549,5863000
2017-02-01,49.119999,49.119999,48.110001,48.549999,45.741455,7546400
2017-02-02,48.580002,49.020000,48.459999,48.980000,46.146584,4380500
2017-02-03,49.020000,49.139999,48.740002,48.830002,46.005257,3389300
2017-02-06,48.970001,49.090000,48.720001,48.759998,45.939308,3145700
2017-02-07,48.860001,48.910000,48.610001,48.770000,45.948734,3710500
2017-02-08,48.849998,49.340000,48.820000,49.220001,46.372696,3932000
2017-02-09,49.220001,49.410000,48.709999,48.860001,46.033524,4827900
2017-02-10,48.810001,49.160000,48.740002,49.049999,46.212532,3502600
2017-02-13,49.060001,49.290001,48.860001,49.220001,46.372696,3348800
2017-02-14,49.009998,49.020000,48.250000,48.590000,45.779144,5312700
2017-02-15,48.349998,48.400002,47.950001,48.349998,45.553024,6017600
2017-02-16,47.849998,48.270000,47.759998,48.240002,45.981960,5632700
2017-02-17,48.290001,48.360001,47.680000,47.799999,45.562561,7118300
2017-02-21,47.740002,48.340000,47.570000,48.279999,46.020088,8673400
2017-02-22,48.259998,49.090000,48.009998,48.990002,46.696857,7522600
2017-02-23,49.000000,49.860001,48.939999,49.669998,47.345024,8940900
2017-02-24,49.799999,50.580002,49.779999,50.500000,48.136173,8351200
2017-02-27,50.450001,50.450001,50.200001,50.270000,47.916939,4650300
2017-02-28,50.139999,50.889999,50.119999,50.820000,48.441193,6668400
2017-03-01,50.270000,50.570000,49.970001,50.060001,47.716770,7153800
2017-03-02,49.779999,50.570000,49.639999,50.320000,47.964603,5343900
2017-03-03,50.340000,50.610001,49.939999,50.369999,48.012260,5710800
2017-03-06,50.599998,50.610001,50.160000,50.240002,47.888344,4245200
2017-03-07,50.099998,50.500000,50.060001,50.400002,48.040859,4507300
2017-03-08,50.040001,50.040001,49.650002,49.770000,47.440342,4324800
2017-03-09,49.900002,49.990002,49.450001,49.500000,47.182983,4246900
