Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,18.070000,18.750000,17.860001,18.150000,18.150000,2903600
2017-01-04,18.280001,18.650000,18.020000,18.450001,18.450001,3327100
2017-01-05,18.660000,19.100000,18.469999,18.990000,18.990000,3465700
2017-01-06,19.070000,19.299999,18.660000,19.190001,19.190001,2027000
2017-01-09,19.129999,19.320000,18.690001,19.180000,19.180000,2156500
2017-01-10,19.299999,19.450001,18.770000,18.889999,18.889999,2589700
2017-01-11,19.040001,19.690001,18.940001,19.469999,19.469999,2082900
2017-01-12,19.730000,19.950001,19.320000,19.490000,19.490000,1942900
2017-01-13,19.360001,19.530001,18.600000,18.660000,18.660000,2011100
2017-01-17,18.860001,18.870001,18.400000,18.680000,18.680000,2384400
2017-01-18,18.389999,18.510000,17.910000,18.260000,18.260000,2697700
2017-01-19,18.340000,18.459999,17.870001,17.959999,17.959999,1909900
2017-01-20,18.270000,18.459999,18.110001,18.139999,18.139999,1878000
2017-01-23,17.930000,18.040001,17.160000,17.510000,17.510000,2548200
2017-01-24,17.650000,17.870001,17.420000,17.719999,17.719999,1736300
2017-01-25,17.719999,18.240000,17.620001,18.180000,18.180000,1863600
2017-01-26,18.240000,18.360001,17.670000,17.820000,17.820000,1360500
2017-01-27,17.650000,17.719999,17.040001,17.290001,17.290001,1705500
2017-01-30,16.879999,17.049999,16.049999,16.160000,16.160000,4081000
2017-01-31,16.090000,16.459999,15.760000,16.379999,16.379999,3144100
2017-02-01,16.459999,16.639999,16.000000,16.379999,16.379999,3220700
2017-02-02,16.520000,16.530001,15.790000,16.230000,16.230000,3050900
2017-02-03,16.389999,17.219999,16.379999,17.059999,17.059999,4922100
2017-02-06,17.750000,17.799999,15.820000,16.250000,16.250000,7719900
2017-02-07,16.059999,16.920000,15.960000,16.320000,16.320000,5622900
2017-02-08,16.180000,16.670000,15.860000,16.639999,16.639999,3889300
2017-02-09,16.639999,17.000000,16.610001,16.670000,16.670000,3312200
2017-02-10,16.930000,17.549999,16.860001,17.379999,17.379999,3197800
2017-02-13,17.350000,17.809999,17.260000,17.730000,17.730000,3434200
2017-02-14,17.860001,18.309999,17.549999,18.240000,18.240000,3655700
2017-02-15,18.049999,18.200001,17.510000,17.629999,17.629999,3034200
2017-02-16,17.740000,17.879999,17.360001,17.410000,17.410000,2105200
2017-02-17,17.219999,17.309999,16.740000,16.990000,16.990000,2499300
2017-02-21,17.250000,17.430000,17.120001,17.360001,17.360001,2432500
2017-02-22,17.139999,17.190001,16.540001,16.780001,16.780001,2907200
2017-02-23,17.270000,17.629999,16.959999,17.490000,17.490000,3413400
2017-02-24,17.200001,17.200001,16.770000,16.910000,16.910000,2772800
2017-02-27,16.980000,17.520000,16.820000,17.340000,17.340000,2651600
2017-02-28,17.200001,17.230000,16.770000,16.840000,16.840000,3531900
2017-03-01,17.059999,17.469999,16.910000,17.299999,17.299999,3165000
2017-03-02,17.160000,17.389999,16.969999,17.139999,17.139999,1903400
2017-03-03,17.110001,17.299999,16.559999,16.629999,16.629999,3204700
2017-03-06,16.570000,16.680000,16.059999,16.320000,16.320000,2125400
2017-03-07,16.469999,16.590000,15.870000,15.890000,15.890000,2191900
2017-03-08,15.780000,16.040001,15.160000,15.250000,15.250000,4199400
2017-03-09,15.040000,15.390000,14.730000,15.230000,15.230000,5132200
2017-03-10,15.420000,15.430000,14.850000,15.190000,15.190000,3147100
2017-03-13,15.130000,15.510000,15.080000,15.170000,15.170000,2742300
2017-03-14,14.900000,14.950000,14.480000,14.700000,14.700000,4010900
2017-03-15,14.930000,15.450000,14.770000,15.380000,15.380000,3559900
2017-03-16,16.020000,16.120001,15.360000,15.560000,15.560000,4853500
2017-03-17,15.670000,15.890000,15.490000,15.570000,15.570000,3217800
2017-03-20,15.400000,15.510000,15.050000,15.400000,15.400000,3580200
2017-03-21,15.490000,15.800000,15.160000,15.590000,15.590000,2900800
2017-03-22,15.420000,15.900000,15.270000,15.690000,15.690000,3135600
2017-03-23,15.550000,15.830000,15.340000,15.630000,15.630000,2229100
2017-03-24,15.670000,15.940000,15.560000,15.710000,15.710000,2238100
2017-03-27,15.500000,15.720000,15.380000,15.540000,15.540000,3254100
2017-03-28,15.650000,16.209999,15.590000,16.059999,16.059999,1886800
2017-03-29,16.000000,16.520000,15.900000,16.330000,16.330000,2370800
2017-03-30,16.500000,16.860001,16.260000,16.540001,16.540001,3148200
2017-03-31,16.389999,16.850000,16.360001,16.709999,16.709999,1981300
2017-04-03,16.709999,16.930000,16.209999,16.299999,16.299999,2192700
2017-04-04,16.309999,16.309999,16.049999,16.280001,16.280001,1791700
2017-04-05,16.620001,16.990000,15.980000,16.059999,16.059999,3328300
2017-04-06,16.120001,16.350000,15.940000,16.309999,16.309999,2282700
2017-04-07,16.330000,16.379999,15.760000,15.790000,15.790000,1969900
2017-04-10,15.950000,16.290001,15.860000,16.270000,16.270000,2163100
2017-04-11,16.379999,16.400000,15.900000,16.230000,16.230000,1454600
2017-04-12,16.150000,16.400000,15.620000,15.630000,15.630000,1835800
2017-04-13,15.620000,15.620000,15.120000,15.230000,15.230000,2103800
2017-04-17,15.200000,15.380000,15.110000,15.280000,15.280000,1532800
2017-04-18,15.120000,15.290000,14.660000,14.860000,14.860000,3386700
2017-04-19,14.840000,15.050000,14.740000,14.870000,14.870000,4079100
2017-04-20,14.910000,15.050000,14.730000,14.900000,14.900000,2347100
2017-04-21,14.720000,14.970000,14.640000,14.840000,14.840000,2071400
2017-04-24,15.040000,15.050000,14.660000,14.750000,14.750000,2901600
2017-04-25,14.780000,15.020000,14.710000,14.960000,14.960000,2055300
2017-04-26,14.850000,15.340000,14.800000,15.020000,15.020000,1778100
2017-04-27,14.730000,14.900000,14.130000,14.490000,14.490000,3247600
2017-04-28,14.670000,14.760000,14.400000,14.420000,14.420000,3388600
2017-05-01,14.380000,14.470000,13.530000,14.000000,14.000000,4004800
2017-05-02,13.960000,14.040000,13.470000,13.520000,13.520000,3292500
2017-05-03,13.500000,13.940000,13.380000,13.810000,13.810000,3716500
2017-05-04,13.560000,13.690000,13.060000,13.350000,13.350000,4790100
2017-05-05,13.390000,15.020000,13.320000,14.970000,14.970000,6397400
2017-05-08,14.880000,15.020000,14.440000,14.690000,14.690000,3885000
2017-05-09,14.720000,14.900000,14.470000,14.690000,14.690000,2875600
2017-05-10,14.930000,15.350000,14.930000,15.060000,15.060000,2713600
2017-05-11,15.270000,15.350000,14.950000,14.950000,14.950000,2627400
2017-05-12,14.920000,14.920000,14.070000,14.290000,14.290000,3265100
2017-05-15,14.790000,14.820000,13.950000,14.050000,14.050000,2923300
2017-05-16,14.230000,14.280000,13.720000,13.850000,13.850000,2407400
2017-05-17,13.850000,13.850000,13.180000,13.310000,13.310000,2381600
2017-05-18,13.140000,13.490000,13.030000,13.270000,13.270000,3124200
2017-05-19,13.380000,13.530000,13.220000,13.430000,13.430000,3113100
2017-05-22,13.590000,13.810000,13.500000,13.640000,13.640000,2023100
2017-05-23,13.650000,13.690000,13.330000,13.420000,13.420000,2270200
2017-05-24,13.420000,13.560000,13.180000,13.250000,13.250000,2768300
