Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.330000,27.559999,26.820000,27.049999,26.321381,6368500
2017-01-04,27.100000,27.600000,27.049999,27.420000,26.681416,4651800
2017-01-05,27.280001,27.350000,26.549999,26.639999,25.922426,8035200
2017-01-06,26.840000,27.070000,26.610001,26.870001,26.146233,6093800
2017-01-09,26.730000,26.940001,26.520000,26.760000,26.039196,3818000
2017-01-10,26.850000,27.320000,26.730000,27.070000,26.340843,5239500
2017-01-11,26.830000,27.100000,26.680000,27.090000,26.360304,5900200
2017-01-12,26.980000,27.059999,26.540001,26.910000,26.185154,4526300
2017-01-13,27.010000,27.690001,27.000000,27.290001,26.554920,5095700
2017-01-17,27.020000,27.100000,25.690001,26.030001,25.328859,14314700
2017-01-18,26.150000,26.340000,25.860001,26.330000,25.620777,9338900
2017-01-19,26.410000,26.600000,25.969999,25.990000,25.289934,5618400
2017-01-20,26.170000,26.440001,26.070000,26.290001,25.581856,5433700
2017-01-23,26.290001,26.570000,26.150000,26.500000,25.786200,7614500
2017-01-24,26.730000,26.760000,25.660000,26.600000,25.883503,12165000
2017-01-25,26.799999,26.990000,26.620001,26.910000,26.185154,9686400
2017-01-26,27.020000,27.250000,26.879999,27.110001,26.379768,5173800
2017-01-27,27.200001,27.230000,26.670000,26.760000,26.039196,5038300
2017-01-30,26.580000,26.600000,25.959999,26.330000,25.620777,6398300
2017-01-31,26.010000,26.400000,26.010000,26.100000,25.396971,8928800
2017-02-01,26.370001,26.600000,26.100000,26.240000,25.533201,6181500
2017-02-02,25.969999,26.090000,25.760000,25.940001,25.241283,6590300
2017-02-03,26.459999,26.670000,26.150000,26.520000,25.805660,6311700
2017-02-06,26.430000,26.860001,26.360001,26.760000,26.039196,6251000
2017-02-07,26.840000,26.879999,26.299999,26.490000,25.776466,4923600
2017-02-08,26.230000,26.320000,25.680000,25.889999,25.192627,7384300
2017-02-09,26.000000,26.330000,25.860001,26.150000,25.445625,7587300
2017-02-10,26.379999,26.660000,26.209999,26.510000,25.795929,4849800
2017-02-13,26.680000,26.940001,26.620001,26.740000,26.019730,4321700
2017-02-14,26.700001,27.580000,26.639999,27.549999,26.807915,6563500
2017-02-15,27.780001,27.780001,27.290001,27.559999,26.817644,6620700
2017-02-16,27.540001,27.670000,27.420000,27.600000,26.856567,6024600
2017-02-17,27.379999,27.549999,27.230000,27.540001,26.798185,3990200
2017-02-21,27.660000,27.820000,27.420000,27.570000,26.827375,4878200
2017-02-22,27.420000,27.590000,27.270000,27.500000,26.759262,5974200
2017-02-23,27.600000,27.600000,27.139999,27.469999,26.730068,4619300
2017-02-24,27.209999,27.340000,27.020000,27.320000,26.584110,5504100
2017-02-27,27.379999,27.740000,27.240000,27.570000,26.827375,4637600
2017-02-28,27.500000,27.620001,27.309999,27.440001,26.700878,6387800
2017-03-01,27.870001,28.969999,27.830000,28.750000,27.975590,7879600
2017-03-02,28.780001,28.840000,27.730000,27.740000,26.992798,6533300
2017-03-03,27.610001,27.990000,27.530001,27.840000,27.090101,5062500
2017-03-06,27.540001,27.690001,27.150000,27.540001,26.798185,5069100
2017-03-07,27.510000,27.639999,27.260000,27.370001,26.632765,4488900
2017-03-08,27.790001,27.850000,27.320000,27.370001,26.632765,5920500
2017-03-09,27.459999,27.780001,27.389999,27.490000,26.749531,3881600
2017-03-10,27.670000,27.770000,26.639999,27.160000,26.428419,8208600
2017-03-13,27.129999,27.230000,26.900000,26.959999,26.233805,4222100
2017-03-14,26.740000,26.969999,26.330000,26.750000,26.029461,4538300
2017-03-15,27.080000,27.080000,26.290001,26.450001,25.737543,4710600
2017-03-16,26.580000,26.799999,26.430000,26.650000,25.932156,5421800
2017-03-17,26.660000,26.770000,26.219999,26.350000,25.640236,11694300
2017-03-20,26.330000,26.559999,26.129999,26.190001,25.484547,6475400
2017-03-21,26.370001,26.370001,24.780001,24.910000,24.239025,9966800
2017-03-22,24.860001,25.139999,24.299999,24.840000,24.170912,7864800
