Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,31.350000,32.020000,30.860001,31.459999,29.819841,5750600
2017-01-04,31.459999,31.580000,31.070000,31.360001,29.725054,4273900
2017-01-05,31.420000,31.910000,31.260000,31.740000,30.085243,7443700
2017-01-06,31.910000,32.689999,31.780001,32.419998,30.729790,5847100
2017-01-09,32.060001,32.380001,31.700001,31.930000,30.265339,5846100
2017-01-10,31.930000,31.930000,28.459999,28.500000,27.014160,105693000
2017-01-11,28.570000,28.850000,28.260000,28.780001,27.279560,21372100
2017-01-12,28.840000,28.920000,28.549999,28.700001,27.203732,13638900
2017-01-13,28.620001,28.809999,28.500000,28.559999,27.071032,7703700
2017-01-17,28.750000,28.750000,27.990000,28.440001,26.957287,9664300
2017-01-18,28.510000,28.600000,28.049999,28.340000,26.862501,9571600
2017-01-19,28.330000,28.549999,28.139999,28.450001,26.966766,6709800
2017-01-20,28.549999,28.590000,27.990000,28.209999,26.739277,11521700
2017-01-23,28.450001,28.480000,28.040001,28.209999,26.739277,9476700
2017-01-24,28.290001,28.620001,28.070000,28.480000,26.995201,10927400
2017-01-25,28.430000,28.840000,28.360001,28.809999,27.307999,7551400
2017-01-26,28.959999,29.230000,28.830000,28.969999,27.459656,11389900
2017-01-27,28.780001,28.879999,28.100000,28.500000,27.014160,7952200
2017-01-30,28.400000,28.450001,27.750000,28.170000,26.701366,7033300
2017-01-31,28.360001,28.900000,28.230000,28.840000,27.336433,13708900
2017-02-01,29.000000,29.219999,28.200001,28.330000,26.853024,8534800
2017-02-02,28.430000,28.680000,28.030001,28.639999,27.146862,4913600
2017-02-03,28.730000,28.990000,28.610001,28.889999,27.383829,4755400
2017-02-06,29.299999,29.690001,29.000000,29.180000,27.658709,9897700
2017-02-07,28.930000,29.209999,28.459999,28.530001,27.042595,5653600
2017-02-08,28.350000,28.540001,27.900000,28.299999,26.824587,7745000
2017-02-09,28.299999,29.090000,28.299999,28.670000,27.175295,5639600
2017-02-10,28.930000,28.930000,28.389999,28.440001,26.957287,6219700
2017-02-13,28.379999,29.080000,28.370001,29.040001,27.526007,4798100
2017-02-14,29.010000,29.219999,28.650000,28.889999,27.383829,10654600
2017-02-15,28.840000,29.110001,28.750000,28.990000,27.478613,5023500
2017-02-16,29.100000,29.200001,27.959999,27.990000,26.530746,11752900
2017-02-17,27.959999,28.469999,27.950001,28.200001,26.729799,6406300
2017-02-21,28.490000,28.969999,28.379999,28.870001,27.364872,7566200
2017-02-22,28.570000,28.799999,27.709999,28.000000,26.540224,15363500
2017-02-23,28.389999,28.530001,27.950001,28.270000,26.796150,9523000
2017-02-24,28.150000,28.240000,27.680000,27.969999,26.511789,8715700
2017-02-27,28.040001,28.430000,27.950001,28.150000,26.682407,9119400
